,Company,Position,AssetType,Total Cost,Cost Base,Price,MarketValue,Unrealized Profit Loss Rate (%),Position Proportion (%),Date
12,IIPR,50.0,STOCK,8552.11,171.04,194.92,9746.00,14.0%,11.2%,2021-01-24
13,JD,100.0,STOCK,8479.82,84.8,94.92,9492.00,11.9%,10.9%,2021-01-24
2,BEKE,100.0,STOCK,6585.65,65.86,71.04,7104.00,7.9%,8.2%,2021-01-24
10,STIC,200.0,STOCK,2980.00,14.9,14.60,2920.00,-2.0%,3.4%,2021-01-24
4,VVNT,100.0,STOCK,1996.00,19.96,20.58,2058.00,3.1%,2.4%,2021-01-24
15,TDOC,100.0,STOCK,19233.83,192.34,262.85,26285.00,36.7%,30.3%,2021-01-24
0,SNOW,5.0,STOCK,1428.50,285.7,286.99,1434.95,0.4%,1.7%,2021-01-24
8,NIO,200.0,STOCK,11229.00,56.15,61.92,12384.00,10.3%,14.3%,2021-01-24
14,CRM,5.0,STOCK,1111.95,222.39,226.18,1130.90,1.7%,1.3%,2021-01-24
5,AFRM,10.0,STOCK,1079.60,107.96,119.07,1190.70,10.3%,1.4%,2021-01-24
1,PLTR,400.0,STOCK,10022.19,25.06,32.59,13036.00,30.1%,15.0%,2021-01-24
6,NIO,-1.0,OPTION,-97.00,97.0,0.010,-1.00,99.0%,0.0%,2021-01-24
9,PLTR,-1.0,OPTION,-92.00,92.0,0.020,-2.00,97.8%,0.0%,2021-01-24
3,NIO,-2.0,OPTION,-60.00,30.0,0.035,-7.00,88.3%,0.0%,2021-01-24
7,PLTR,-1.0,OPTION,-31.00,31.0,0.010,-1.00,96.8%,0.0%,2021-01-24
11,NIO,-1.0,OPTION,-171.00,171.0,0.010,-1.00,99.4%,0.0%,2021-01-24
16,IIPR,50.0,STOCK,8552.11,171.04,193.94,9697.00,13.4%,9.4%,2021-01-25
17,JD,100.0,STOCK,8479.82,84.8,98.75,9875.00,16.4%,9.5%,2021-01-25
14,BEKE,100.0,STOCK,6585.65,65.86,70.80,7080.00,7.5%,6.8%,2021-01-25
7,STIC,250.0,STOCK,3680.00,14.72,13.93,3482.50,-5.4%,3.4%,2021-01-25
1,TDOC,1.0,OPTION,320.00,320.0,2.385,238.50,-25.5%,0.2%,2021-01-25
19,TDOC,100.0,STOCK,19233.83,192.34,288.72,28872.00,50.1%,27.9%,2021-01-25
6,RUN,20.0,STOCK,1609.80,80.49,79.50,1590.00,-1.2%,1.5%,2021-01-25
12,SNOW,5.0,STOCK,1428.50,285.7,285.14,1425.70,-0.2%,1.4%,2021-01-25
15,NIO,200.0,STOCK,11229.00,56.15,59.80,11960.00,6.5%,11.6%,2021-01-25
18,CRM,5.0,STOCK,1111.95,222.39,225.44,1127.20,1.4%,1.1%,2021-01-25
9,UVXY,100.0,STOCK,1072.00,10.72,10.74,1074.00,0.2%,1.0%,2021-01-25
0,SQQQ,800.0,STOCK,10666.18,13.33,13.13,10504.00,-1.5%,10.1%,2021-01-25
13,PLTR,400.0,STOCK,10022.19,25.06,36.46,14584.00,45.5%,14.1%,2021-01-25
4,PLTR,-3.0,OPTION,-562.00,187.33,2.070,-621.00,-10.5%,0.6%,2021-01-25
5,BEKE,-1.0,OPTION,-480.00,480.0,4.550,-455.00,5.2%,0.4%,2021-01-25
8,TDOC,-1.0,OPTION,-375.00,375.0,2.030,-203.00,45.9%,0.2%,2021-01-25
10,JD,-1.0,OPTION,-351.00,351.0,2.985,-298.50,15.0%,0.3%,2021-01-25
2,PLTR,-3.0,OPTION,-246.00,82.0,0.525,-157.50,36.0%,0.1%,2021-01-25
11,PLTR,-1.0,OPTION,-228.00,228.0,1.265,-126.50,44.5%,0.1%,2021-01-25
3,NIO,-2.0,OPTION,-160.00,80.0,0.890,-178.00,-11.2%,0.2%,2021-01-25
2,BEKE,150.0,STOCK,9790.15,65.27,64.46,9669.00,-1.2%,9.4%,2021-01-26
21,IIPR,50.0,STOCK,8552.11,171.04,200.00,10000.00,16.9%,9.8%,2021-01-26
10,GME,1.0,STOCK,85.15,85.15,209.26,209.26,145.8%,0.2%,2021-01-26
22,JD,100.0,STOCK,8479.82,84.8,96.97,9697.00,14.3%,9.5%,2021-01-26
0,SQQQ,300.0,STOCK,3999.82,13.33,12.81,3843.00,-3.9%,3.8%,2021-01-26
15,STIC,250.0,STOCK,3680.00,14.72,13.52,3380.00,-8.2%,3.3%,2021-01-26
9,UVXY,300.0,STOCK,3151.50,10.51,10.64,3192.00,1.3%,3.1%,2021-01-26
6,AFRM,20.0,STOCK,2214.35,110.72,110.10,2202.00,-0.6%,2.1%,2021-01-26
24,TDOC,100.0,STOCK,19233.83,192.34,286.24,28624.00,48.8%,28.0%,2021-01-26
14,RUN,20.0,STOCK,1609.80,80.49,76.50,1530.00,-5.0%,1.5%,2021-01-26
4,RKT,2.0,OPTION,144.00,72.0,0.660,132.00,-8.3%,0.1%,2021-01-26
18,SNOW,5.0,STOCK,1428.50,285.7,282.50,1412.50,-1.1%,1.4%,2021-01-26
20,NIO,200.0,STOCK,11229.00,56.15,59.99,11998.00,6.9%,11.7%,2021-01-26
23,CRM,5.0,STOCK,1111.95,222.39,228.11,1140.55,2.6%,1.1%,2021-01-26
19,PLTR,400.0,STOCK,10022.19,25.06,34.00,13600.00,35.7%,13.3%,2021-01-26
1,JD,-1.0,OPTION,-93.00,93.0,0.935,-93.50,-0.5%,0.1%,2021-01-26
8,BEKE,-1.0,OPTION,-540.00,540.0,6.00,-600.00,-11.1%,0.6%,2021-01-26
13,BEKE,-1.0,OPTION,-480.00,480.0,2.375,-237.50,50.5%,0.2%,2021-01-26
16,TDOC,-1.0,OPTION,-375.00,375.0,1.585,-158.50,57.7%,0.1%,2021-01-26
3,SQQQ,-3.0,OPTION,-36.00,12.0,0.135,-40.50,-12.5%,0.0%,2021-01-26
11,PLTR,-3.0,OPTION,-246.00,82.0,0.465,-139.50,43.3%,0.1%,2021-01-26
17,PLTR,-1.0,OPTION,-228.00,228.0,0.750,-75.00,67.1%,0.1%,2021-01-26
12,NIO,-2.0,OPTION,-160.00,80.0,0.585,-117.00,26.9%,0.1%,2021-01-26
5,RKT,-1.0,OPTION,-135.00,135.0,1.470,-147.00,-8.9%,0.1%,2021-01-26
7,NIO,-1.0,OPTION,-112.00,112.0,0.855,-85.50,23.7%,0.1%,2021-01-26

