,trade Id,Time,Stock symbol,Company,Price,Quantity,Total Amount ($),Stock/Option,Strike Price,Option type,Action,Option Expire Date,ticker,long/short,Date
0,4.0644113390902886e+17,01/22/2021 15:58:26 EST,SNOW,Snowflake Inc,285.70,5,1428.50,STOCK,,,BUY,,950173560.0,long,2021-01-22
1,4.0643881745371955e+17,01/22/2021 15:48:16 EST,PLTR,Palantir Technologies Inc.,32.07,100,3207.00,STOCK,,,SELL,,950172475.0,short,2021-01-22
2,4.064180669692682e+17,01/22/2021 14:25:49 EST,TDOC,TELADOC HEALTH,1.49,1,149.00,OPTION,260.00,call,BUY,2021-01-22,913254759.0,long,2021-01-22
3,4.0641340248385536e+17,01/22/2021 14:07:41 EST,PLTR,Palantir Technologies Inc.,0.42,4,168.00,OPTION,31.00,call,BUY,2021-01-22,950172475.0,long,2021-01-22
4,4.0641009668857446e+17,01/22/2021 13:54:15 EST,RUN,Sunrun,85.59,15,1283.85,STOCK,,,SELL,,913256036.0,short,2021-01-22
5,4.0640695300317184e+17,01/22/2021 13:41:39 EST,TDOC,TELADOC HEALTH,0.89,1,89.00,OPTION,235.00,put,BUY,2021-01-29,913254759.0,short,2021-01-22
6,4.064055982221025e+17,01/22/2021 13:36:16 EST,PLTR,Palantir Technologies Inc.,0.24,1,24.00,OPTION,31.00,call,BUY,2021-01-22,950172475.0,long,2021-01-22
7,4.064034657791222e+17,01/22/2021 13:27:48 EST,RUN,Sunrun,85.35,15,1280.25,STOCK,,,BUY,,913256036.0,long,2021-01-22
8,4.064007318185738e+17,01/22/2021 13:16:56 EST,PLTR,Palantir Technologies Inc.,0.07,5,35.00,OPTION,31.00,call,SELL,2021-01-22,950172475.0,short,2021-01-22
9,4.063941659418337e+17,01/22/2021 12:50:50 EST,PLTR,Palantir Technologies Inc.,1.19,1,119.00,OPTION,28.00,call,BUY,2021-01-22,950172475.0,long,2021-01-22
10,4.063941263727616e+17,01/22/2021 12:50:41 EST,PLTR,Palantir Technologies Inc.,2.38,1,238.00,OPTION,28.00,call,SELL,2021-01-29,950172475.0,short,2021-01-22
11,4.063740974178017e+17,01/22/2021 11:31:05 EST,BEKE,KE Holdings Inc.,69.76,10,697.55,STOCK,,,BUY,,950169866.0,long,2021-01-22
12,4.063722222702879e+17,01/22/2021 11:23:38 EST,TDAC,Trident Acquisitions,12.30,100,1230.00,STOCK,,,SELL,,950102449.0,short,2021-01-22
13,4.063718971194532e+17,01/22/2021 11:22:21 EST,PLTR,Palantir Technologies Inc.,0.42,2,84.00,OPTION,28.00,call,BUY,2021-01-22,950172475.0,long,2021-01-22
14,4.063717292843131e+17,01/22/2021 11:21:41 EST,BEKE,KE Holdings Inc.,70.06,20,1401.20,STOCK,,,BUY,,950169866.0,long,2021-01-22
15,4.0637086160031744e+17,01/22/2021 11:18:14 EST,BEKE,KE Holdings Inc.,70.37,20,1407.40,STOCK,,,BUY,,950169866.0,long,2021-01-22
16,4.063707500359885e+17,01/22/2021 11:17:47 EST,PLTR,Palantir Technologies Inc.,3.19,1,319.00,OPTION,30.00,put,BUY,2021-01-29,950172475.0,short,2021-01-22
17,4.063706178861261e+17,01/22/2021 11:17:16 EST,PLTR,Palantir Technologies Inc.,1.63,2,326.00,OPTION,28.00,call,SELL,2021-01-29,950172475.0,short,2021-01-22
18,4.063633967248589e+17,01/22/2021 10:48:34 EST,UVXY,ProShares Ultra VIX Short-Term Futures,10.34,200,2068.00,STOCK,,,SELL,,913424717.0,short,2021-01-22
19,4.063612761685688e+17,01/22/2021 10:40:09 EST,NIO,NIO Inc.,0.30,2,60.00,OPTION,62.00,call,SELL,2021-01-22,950076017.0,short,2021-01-22
20,4.063581956578591e+17,01/22/2021 10:27:54 EST,TDAC,Trident Acquisitions,12.45,100,1245.00,STOCK,,,SELL,,950102449.0,short,2021-01-22
21,4.063561977724109e+17,01/22/2021 10:19:58 EST,UVXY,ProShares Ultra VIX Short-Term Futures,0.10,2,20.00,OPTION,10.50,call,BUY,2021-01-22,913424717.0,long,2021-01-22
22,4.063559128700969e+17,01/22/2021 10:18:50 EST,NIO,NIO Inc.,0.73,2,146.00,OPTION,60.00,call,BUY,2021-01-22,950076017.0,long,2021-01-22
23,4.063335174300877e+17,01/22/2021 09:32:42 EST,VVNT,Vivint Smart Home Inc,19.96,100,1996.00,STOCK,,,BUY,,925402643.0,long,2021-01-22
24,4.0601921474749645e+17,01/21/2021 12:01:03 EST,AMZN,Amazon.com,3325.86,1,3325.86,STOCK,,,SELL,,913256180.0,short,2021-01-21
25,4.059988010321797e+17,01/21/2021 10:39:52 EST,PLTR,Palantir Technologies Inc.,0.90,3,270.00,OPTION,28.00,call,BUY,2021-01-29,950172475.0,long,2021-01-21
26,4.05998651555455e+17,01/21/2021 10:39:12 EST,PLTR,Palantir Technologies Inc.,4.40,1,440.00,OPTION,30.00,put,SELL,2021-01-29,950172475.0,long,2021-01-21
27,4.059984761287762e+17,01/21/2021 10:38:30 EST,BEKE,KE Holdings Inc.,75.18,50,3758.75,STOCK,,,SELL,,950169866.0,short,2021-01-21
28,4.0599292642699674e+17,01/21/2021 10:16:27 EST,UVXY,ProShares Ultra VIX Short-Term Futures,0.14,2,28.00,OPTION,10.50,call,SELL,2021-01-22,913424717.0,short,2021-01-21
29,4.059888755053445e+17,01/21/2021 10:00:21 EST,QS,QuantumScape Corp,46.16,15,692.43,STOCK,,,SELL,,950172303.0,short,2021-01-21
30,4.0598876263652966e+17,01/21/2021 09:59:54 EST,AFRM,"Affirm Holdings, Inc.",107.96,10,1079.60,STOCK,,,BUY,,950178219.0,long,2021-01-21
31,4.057045398706381e+17,01/20/2021 15:11:08 EST,QS,QuantumScape Corp,48.33,10,483.30,STOCK,,,BUY,,950172303.0,long,2021-01-20
32,4.0569233540653875e+17,01/20/2021 14:22:35 EST,NIO,NIO Inc.,0.97,1,97.00,OPTION,57.00,put,SELL,2021-01-22,950076017.0,long,2021-01-20
33,4.0568720651093606e+17,01/20/2021 14:01:38 EST,QS,QuantumScape Corp,48.74,5,243.69,STOCK,,,BUY,,950172303.0,long,2021-01-20
34,4.056820172341207e+17,01/20/2021 13:41:01 EST,UVXY,ProShares Ultra VIX Short-Term Futures,10.29,200,2057.75,STOCK,,,BUY,,913424717.0,long,2021-01-20
35,4.056813447614423e+17,01/20/2021 13:38:20 EST,JD,JD.com,1.66,1,166.00,OPTION,92.00,put,BUY,2021-01-29,913255864.0,short,2021-01-20
36,4.0568130894196736e+17,01/20/2021 13:38:12 EST,JD,JD.com,3.01,1,301.00,OPTION,94.00,call,SELL,2021-01-29,913255864.0,short,2021-01-20
37,4.056529288131256e+17,01/20/2021 11:45:26 EST,PLTR,Palantir Technologies Inc.,0.39,1,39.00,OPTION,27.50,call,BUY,2021-01-22,950172475.0,long,2021-01-20
38,4.0565041722199654e+17,01/20/2021 11:35:27 EST,PLTR,Palantir Technologies Inc.,0.38,1,38.00,OPTION,27.50,call,BUY,2021-01-22,950172475.0,long,2021-01-20
39,4.0564729462553395e+17,01/20/2021 11:24:16 EST,TDOC,TELADOC HEALTH,1.10,1,110.00,OPTION,260.00,call,SELL,2021-01-22,913254759.0,short,2021-01-20
40,4.056251718278226e+17,01/20/2021 09:55:13 EST,TDOC,TELADOC HEALTH,4.05,1,405.00,OPTION,235.00,put,SELL,2021-01-29,913254759.0,long,2021-01-20
41,4.0562510921109094e+17,01/20/2021 09:54:53 EST,PLTR,Palantir Technologies Inc.,0.44,2,88.00,OPTION,27.50,call,SELL,2021-01-22,950172475.0,short,2021-01-20
42,4.0562462588461056e+17,01/20/2021 09:53:22 EST,PLTR,Palantir Technologies Inc.,0.30,3,90.00,OPTION,28.00,call,SELL,2021-01-22,950172475.0,short,2021-01-20
43,4.056234587482399e+17,01/20/2021 09:48:20 EST,PLTR,Palantir Technologies Inc.,0.31,1,31.00,OPTION,25.50,put,SELL,2021-01-22,950172475.0,long,2021-01-20
44,4.056210008273674e+17,01/20/2021 09:38:33 EST,TDOC,TELADOC HEALTH,0.50,1,50.00,OPTION,222.50,put,BUY,2021-01-22,913254759.0,short,2021-01-20
45,4.0562080302393754e+17,01/20/2021 09:37:46 EST,JD,JD.com,3.20,1,320.00,OPTION,94.00,call,SELL,2021-01-29,913255864.0,short,2021-01-20
46,4.052694073387254e+17,01/19/2021 10:21:27 EST,UBER,Uber,55.46,100,5546.00,STOCK,,,SELL,,950121423.0,short,2021-01-19
47,4.05269295661142e+17,01/19/2021 10:21:00 EST,NIO,NIO Inc.,3.46,1,346.00,OPTION,60.00,put,BUY,2021-01-22,950076017.0,short,2021-01-19
48,4.05269218913792e+17,01/19/2021 10:20:42 EST,NIO,NIO Inc.,1.16,2,232.00,OPTION,60.00,call,SELL,2021-01-22,950076017.0,short,2021-01-19
49,4.038638632645796e+17,01/15/2021 13:17:05 EST,TDOC,TELADOC HEALTH,4.40,1,440.00,OPTION,222.50,put,SELL,2021-01-22,913254759.0,long,2021-01-15
50,4.038450513246945e+17,01/15/2021 12:01:34 EST,PLTR,Palantir Technologies Inc.,0.92,1,92.00,OPTION,26.00,put,SELL,2021-01-22,950172475.0,long,2021-01-15
51,4.0384496422580634e+17,01/15/2021 12:01:13 EST,TDOC,TELADOC HEALTH,0.19,1,19.00,OPTION,220.00,put,BUY,2021-01-15,913254759.0,short,2021-01-15
52,4.0383731767407e+17,01/15/2021 11:30:50 EST,UVXY,ProShares Ultra VIX Short-Term Futures,10.69,200,2138.00,STOCK,,,SELL,,913424717.0,short,2021-01-15
53,4.0383483196585984e+17,01/15/2021 11:20:57 EST,PLTR,Palantir Technologies Inc.,0.25,1,25.00,OPTION,26.00,put,SELL,2021-01-15,950172475.0,long,2021-01-15
54,4.038342919744512e+17,01/15/2021 11:18:49 EST,JD,JD.com,0.11,1,11.00,OPTION,90.00,call,SELL,2021-01-15,913255864.0,short,2021-01-15
55,4.03825769203114e+17,01/15/2021 10:44:57 EST,STIC,NORTHERN STAR,15.05,100,1505.00,STOCK,,,BUY,,950179021.0,long,2021-01-15
56,4.0382520330346906e+17,01/15/2021 10:42:42 EST,OPEN,Opendoor Technologies Inc,25.73,200,5145.00,STOCK,,,SELL,,950169649.0,short,2021-01-15
57,4.038136383994634e+17,01/15/2021 09:56:45 EST,PLTR,Palantir Technologies Inc.,0.13,4,52.00,OPTION,29.50,call,SELL,2021-01-15,950172475.0,short,2021-01-15
58,4.0381328418206515e+17,01/15/2021 09:55:22 EST,PLTR,Palantir Technologies Inc.,0.79,4,316.00,OPTION,27.50,call,BUY,2021-01-15,950172475.0,long,2021-01-15
59,4.0354067217238016e+17,01/14/2021 15:52:04 EST,UVXY,ProShares Ultra VIX Short-Term Futures,0.54,2,108.00,OPTION,10.00,call,BUY,2021-01-15,913424717.0,long,2021-01-14
60,4.035243062414049e+17,01/14/2021 15:33:59 EST,OPEN,Opendoor Technologies Inc,0.50,1,50.00,OPTION,27.00,call,BUY,2021-01-15,950169649.0,long,2021-01-14
61,4.03491659351892e+17,01/14/2021 12:37:44 EST,NIO,NIO Inc.,1.71,1,171.00,OPTION,57.50,put,SELL,2021-01-22,950076017.0,long,2021-01-14
62,4.0349157487866266e+17,01/14/2021 12:36:59 EST,PLTR,Palantir Technologies Inc.,0.05,1,5.00,OPTION,23.50,put,BUY,2021-01-15,950172475.0,short,2021-01-14
63,4.034915385350185e+17,01/14/2021 12:36:50 EST,TTCF,"Tattooed Chef, Inc.",0.05,2,10.00,OPTION,22.50,put,BUY,2021-01-15,950102446.0,short,2021-01-14
