,currency,date,netLiquidation
0,USD,2020-02-21,0.00
1,USD,2020-02-22,0.00
2,USD,2020-02-23,0.00
3,USD,2020-02-24,0.00
4,USD,2020-02-25,0.00
5,USD,2020-02-26,0.00
6,USD,2020-02-27,0.00
7,USD,2020-02-28,3.30
8,USD,2020-02-29,5.28
9,USD,2020-03-01,5.28
10,USD,2020-03-02,4981.19
11,USD,2020-03-03,4906.61
12,USD,2020-03-04,4918.49
13,USD,2020-03-05,4957.43
14,USD,2020-03-06,4924.43
15,USD,2020-03-07,4890.11
16,USD,2020-03-08,4890.11
17,USD,2020-03-09,4876.25
18,USD,2020-03-10,5860.87
19,USD,2020-03-11,5669.47
20,USD,2020-03-12,5353.90
21,USD,2020-03-13,5753.38
22,USD,2020-03-14,5805.38
23,USD,2020-03-15,5805.38
24,USD,2020-03-16,5513.70
25,USD,2020-03-17,5997.91
26,USD,2020-03-18,5933.11
27,USD,2020-03-19,6068.91
28,USD,2020-03-20,5906.71
29,USD,2020-03-21,5893.41
30,USD,2020-03-22,5893.41
31,USD,2020-03-23,5810.91
32,USD,2020-03-24,6225.95
33,USD,2020-03-25,10351.45
34,USD,2020-03-26,10509.75
35,USD,2020-03-27,10467.70
36,USD,2020-03-28,10447.30
37,USD,2020-03-29,10447.30
38,USD,2020-03-30,10864.65
39,USD,2020-03-31,11085.52
40,USD,2020-04-01,20950.42
41,USD,2020-04-02,21296.64
42,USD,2020-04-03,21350.44
43,USD,2020-04-04,21327.84
44,USD,2020-04-05,21327.84
45,USD,2020-04-06,21650.32
46,USD,2020-04-07,21573.52
47,USD,2020-04-08,21561.92
48,USD,2020-04-09,21557.92
49,USD,2020-04-10,21562.72
50,USD,2020-04-11,21562.72
51,USD,2020-04-12,21562.72
52,USD,2020-04-13,21817.92
53,USD,2020-04-14,22170.13
54,USD,2020-04-15,22027.76
55,USD,2020-04-16,21810.78
56,USD,2020-04-17,21639.50
57,USD,2020-04-18,21611.64
58,USD,2020-04-19,21611.64
59,USD,2020-04-20,22213.39
60,USD,2020-04-21,23144.29
61,USD,2020-04-22,23010.88
62,USD,2020-04-23,23352.00
63,USD,2020-04-24,23009.28
64,USD,2020-04-25,22979.58
65,USD,2020-04-26,22979.58
66,USD,2020-04-27,22033.74
67,USD,2020-04-28,21999.37
68,USD,2020-04-29,21110.17
69,USD,2020-04-30,20210.97
70,USD,2020-05-01,19051.97
71,USD,2020-05-02,19405.97
72,USD,2020-05-03,19405.97
73,USD,2020-05-04,20014.88
74,USD,2020-05-05,19753.86
75,USD,2020-05-06,21281.64
76,USD,2020-05-07,21299.49
77,USD,2020-05-08,21633.77
78,USD,2020-05-09,21677.77
79,USD,2020-05-10,21677.77
80,USD,2020-05-11,21641.08
