,periodName,profitLoss,yieldRate
0,2020-02-25,0.00,0.0000
1,2020-02-26,0.00,0.0000
2,2020-02-27,0.00,0.0000
3,2020-02-28,3.30,0.0007
4,2020-03-02,-22.11,-0.0044
5,2020-03-03,-74.58,-0.0150
6,2020-03-04,11.88,0.0020
7,2020-03-05,38.94,0.0066
8,2020-03-06,-33.00,-0.0055
9,2020-03-09,-48.18,-0.0081
10,2020-03-10,-15.38,-0.0026
11,2020-03-11,-191.40,-0.0327
12,2020-03-12,-315.57,-0.0557
13,2020-03-13,399.48,0.0746
14,2020-03-16,-239.68,-0.0417
15,2020-03-17,484.21,0.0878
16,2020-03-18,-64.80,-0.0108
17,2020-03-19,135.80,0.0137
18,2020-03-20,-162.20,-0.0161
19,2020-03-23,-95.80,-0.0097
20,2020-03-24,415.04,0.0423
21,2020-03-25,125.50,0.0123
22,2020-03-26,158.30,0.0078
23,2020-03-27,-42.05,-0.0021
24,2020-03-30,396.95,0.0194
25,2020-03-31,220.87,0.0106
26,2020-04-01,-135.10,-0.0064
27,2020-04-02,346.22,0.0165
28,2020-04-03,53.80,0.0025
29,2020-04-06,299.88,0.0140
30,2020-04-07,-76.80,-0.0035
31,2020-04-08,-11.60,-0.0005
32,2020-04-09,-4.00,-0.0002
33,2020-04-13,260.01,0.0121
34,2020-04-14,352.20,0.0161
35,2020-04-15,-142.37,-0.0064
36,2020-04-16,-216.98,-0.0099
37,2020-04-17,-171.28,-0.0079
38,2020-04-20,573.89,0.0265
39,2020-04-21,930.90,0.0419
40,2020-04-22,-133.41,-0.0058
41,2020-04-23,341.12,0.0148
42,2020-04-24,-342.72,-0.0147
43,2020-04-27,-975.54,-0.0424
44,2020-04-28,-34.37,-0.0016
45,2020-04-29,-889.20,-0.0404
46,2020-04-30,-899.20,-0.0426
47,2020-05-01,-1159.00,-0.0573
48,2020-05-04,962.91,0.0505
49,2020-05-05,-261.02,-0.0130
50,2020-05-06,1527.78,0.0773
51,2020-05-07,17.85,0.0008
52,2020-05-08,334.28,0.0157
53,2020-05-11,7.31,0.0003
54,2020-05-12,-143.85,-0.0066
55,2020-05-13,-761.62,-0.0354
56,2020-05-14,97.00,0.0047
57,2020-05-15,-204.50,-0.0098
58,2020-05-18,1206.88,0.0585
59,2020-05-19,-92.52,-0.0042
60,2020-05-20,-755.88,-0.0348
61,2020-05-21,-537.43,-0.0256
62,2020-05-22,-332.04,-0.0162
63,2020-05-26,1286.17,0.0639
64,2020-05-27,838.47,0.0392
65,2020-05-28,-487.08,-0.0219
66,2020-05-29,369.66,0.0170
67,2020-06-01,355.65,0.0161
68,2020-06-02,860.92,0.0383
69,2020-06-03,-66.52,-0.0029
70,2020-06-04,530.43,0.0188
71,2020-06-05,-484.69,-0.0168
72,2020-06-08,1194.64,0.0422
73,2020-06-09,1146.12,0.0388
74,2020-06-10,701.14,0.0229
75,2020-06-11,-19.05,-0.0006
76,2020-06-12,-273.11,-0.0087
77,2020-06-15,1300.09,0.0418
78,2020-06-16,1537.97,0.0475
79,2020-06-17,-143.11,-0.0042
80,2020-06-18,571.21,0.0169
81,2020-06-19,17.45,0.0005
82,2020-06-22,-157.32,-0.0046
83,2020-06-23,-607.47,-0.0178
84,2020-06-24,1917.30,0.0571
85,2020-06-25,967.93,0.0273
86,2020-06-26,-1574.96,-0.0432
87,2020-06-29,-1270.89,-0.0364
88,2020-06-30,-550.22,-0.0164
89,2020-07-01,402.71,0.0122
90,2020-07-02,-193.86,-0.0058
91,2020-07-06,1937.61,0.0364
92,2020-07-07,1417.38,0.0257
