,Company,Symbol,Profit
0,TELADOC HEALTH,TDOC,4480.51
1,Palantir Technologies Inc.,PLTR,3741.23
2,NIO Inc.,NIO,1898.24
3,JD.com,JD,1535.70
4,KE Holdings Inc.,BEKE,1160.50
5,Innovative Indl,IIPR,254.00
6,Amazon.com,AMZN,221.52
7,"Affirm Holdings, Inc.",AFRM,119.90
8,Salesforce.com,CRM,63.15
9,Vivint Smart Home Inc,VVNT,62.00
10,Trident Acquisitions,TDAC,60.92
11,ProShares Ultra VIX Short-Term Futures,UVXY,17.81
12,Sunrun,RUN,3.56
13,Snowflake Inc,SNOW,-0.10
14,Uber,UBER,-5.14
15,QuantumScape Corp,QS,-34.59
16,NORTHERN STAR,STIC,-104.00
