,date,profitLoss,yieldRate,indexYieldRate,yield_rate_dia,yield_rate_ixic,yield_rate_spy
0,2020-02-25,0.00,0.0000,-0.0317,-0.0317,-0.0277,-0.0303
1,2020-02-26,0.00,0.0000,-0.0351,-0.0351,-0.0261,-0.0339
2,2020-02-27,0.00,0.0000,-0.0789,-0.0789,-0.0710,-0.0773
3,2020-02-28,3.30,0.0007,-0.0894,-0.0894,-0.0709,-0.0811
4,2020-03-02,-22.11,-0.0038,-0.0448,-0.0448,-0.0292,-0.0413
5,2020-03-03,-74.58,-0.0187,-0.0725,-0.0725,-0.0583,-0.0688
6,2020-03-04,11.88,-0.0167,-0.0310,-0.0310,-0.0220,-0.0297
7,2020-03-05,38.94,-0.0102,-0.0647,-0.0647,-0.0523,-0.0619
8,2020-03-06,-33.00,-0.0157,-0.0741,-0.0741,-0.0700,-0.0774
9,2020-03-09,-48.18,-0.0237,-0.1461,-0.1461,-0.1378,-0.1495
10,2020-03-10,-15.38,-0.0263,-0.1041,-0.1041,-0.0951,-0.1055
11,2020-03-11,-191.40,-0.0581,-0.1564,-0.1564,-0.1376,-0.1491
12,2020-03-12,-315.57,-0.1105,-0.2413,-0.2413,-0.2190,-0.2305
13,2020-03-13,399.48,-0.0441,-0.1697,-0.1697,-0.1460,-0.1647
14,2020-03-16,-239.68,-0.0840,-0.2757,-0.2757,-0.2512,-0.2561
15,2020-03-17,484.21,-0.0035,-0.2364,-0.2364,-0.2046,-0.2159
16,2020-03-18,-64.80,-0.0143,-0.2868,-0.2868,-0.2420,-0.2556
17,2020-03-19,135.80,-0.0008,-0.2799,-0.2799,-0.2246,-0.2540
18,2020-03-20,-162.20,-0.0169,-0.3136,-0.3136,-0.2540,-0.2904
19,2020-03-23,-95.80,-0.0264,-0.3342,-0.3342,-0.2560,-0.3085
20,2020-03-24,415.04,0.0148,-0.2608,-0.2608,-0.1956,-0.2459
21,2020-03-25,125.50,0.0272,-0.2415,-0.2415,-0.1992,-0.2346
22,2020-03-26,158.30,0.0352,-0.1949,-0.1949,-0.1544,-0.1899
23,2020-03-27,-42.05,0.0331,-0.2261,-0.2261,-0.1864,-0.2140
24,2020-03-30,396.95,0.0531,-0.2020,-0.2020,-0.1569,-0.1885
25,2020-03-31,220.87,0.0643,-0.2158,-0.2158,-0.1650,-0.2006
26,2020-04-01,-135.10,0.0575,-0.2510,-0.2510,-0.2018,-0.2366
27,2020-04-02,346.22,0.0749,-0.2347,-0.2347,-0.1880,-0.2189
28,2020-04-03,53.80,0.0777,-0.2467,-0.2467,-0.2004,-0.2302
29,2020-04-06,299.88,0.0928,-0.1897,-0.1897,-0.1419,-0.1785
30,2020-04-07,-76.80,0.0889,-0.1894,-0.1894,-0.1447,-0.1777
31,2020-04-08,-11.60,0.0883,-0.1618,-0.1618,-0.1226,-0.1501
32,2020-04-09,-4.00,0.0881,-0.1517,-0.1517,-0.1158,-0.1372
33,2020-04-13,260.01,0.1013,-0.1631,-0.1631,-0.1116,-0.1450
34,2020-04-14,352.20,0.1190,-0.1427,-0.1427,-0.0765,-0.1198
35,2020-04-15,-142.37,0.1119,-0.1591,-0.1591,-0.0898,-0.1385
36,2020-04-16,-216.98,0.1009,-0.1582,-0.1582,-0.0747,-0.1344
37,2020-04-17,-171.28,0.0923,-0.1328,-0.1328,-0.0619,-0.1110
38,2020-04-20,573.89,0.1212,-0.1535,-0.1535,-0.0717,-0.1266
39,2020-04-21,930.90,0.1682,-0.1765,-0.1765,-0.1039,-0.1532
40,2020-04-22,-133.41,0.1615,-0.1602,-0.1602,-0.0787,-0.1344
41,2020-04-23,341.12,0.1787,-0.1591,-0.1591,-0.0788,-0.1344
42,2020-04-24,-342.72,0.1614,-0.1493,-0.1493,-0.0636,-0.1224
43,2020-04-27,-975.54,0.1122,-0.1368,-0.1368,-0.0533,-0.1097
44,2020-04-28,-34.37,0.1104,-0.1376,-0.1376,-0.0665,-0.1138
45,2020-04-29,-889.20,0.0655,-0.1184,-0.1184,-0.0332,-0.0906
46,2020-04-30,-899.20,0.0201,-0.1300,-0.1300,-0.0360,-0.0991
47,2020-05-01,-1159.00,-0.0384,-0.1512,-0.1512,-0.0668,-0.1229
48,2020-05-04,962.91,0.0103,-0.1507,-0.1507,-0.0554,-0.1205
49,2020-05-05,-261.02,-0.0029,-0.1458,-0.1458,-0.0447,-0.1124
50,2020-05-06,1527.78,0.0742,-0.1527,-0.1527,-0.0398,-0.1184
51,2020-05-07,17.85,0.0751,-0.1454,-0.1454,-0.0262,-0.1077
