,close,high,low,open,s,time,volume
0,10.9,10.95,10.87,10.89,ok,2020-01-07 00:00:00,1977000
1,11.26,11.35,10.884,10.94,ok,2020-01-08 00:00:00,2955700
2,12.25,12.39,11.34,11.43,ok,2020-01-09 00:00:00,8279300
3,12.39,12.63,11.982,12.41,ok,2020-01-10 00:00:00,2374700
4,12.0,12.64,11.55,12.61,ok,2020-01-13 00:00:00,1674100
5,11.94,12.28,11.82,12.14,ok,2020-01-14 00:00:00,594900
6,12.7,13.0,11.99,12.0,ok,2020-01-15 00:00:00,3258200
7,12.99,13.44,12.94,13.11,ok,2020-01-16 00:00:00,5473100
8,13.57,13.67,12.76,13.23,ok,2020-01-17 00:00:00,3487800
9,13.83,14.5,13.32,13.83,ok,2020-01-21 00:00:00,3281900
10,14.27,14.39,13.72,14.0,ok,2020-01-22 00:00:00,2341800
11,14.44,14.6,14.11,14.47,ok,2020-01-23 00:00:00,2901100
12,14.36,14.717,14.16,14.6,ok,2020-01-24 00:00:00,1823200
13,15.0,15.14,14.35,14.59,ok,2020-01-27 00:00:00,4655300
14,15.08,15.75,14.3,15.35,ok,2020-01-28 00:00:00,5870300
15,14.5,14.97,14.0,14.93,ok,2020-01-29 00:00:00,3475000
16,14.67,14.89,14.36,14.77,ok,2020-01-30 00:00:00,1940600
17,14.53,15.0,14.4,14.79,ok,2020-01-31 00:00:00,1098200
18,14.51,14.87,14.04,14.84,ok,2020-02-03 00:00:00,1458500
19,14.57,15.026,14.45,14.64,ok,2020-02-04 00:00:00,1403600
20,14.25,14.9,13.85,14.81,ok,2020-02-05 00:00:00,1270100
21,13.61,14.48,13.26,14.35,ok,2020-02-06 00:00:00,2912700
22,14.5,14.74,13.5,13.64,ok,2020-02-07 00:00:00,1249400
23,16.02,16.74,14.5,14.52,ok,2020-02-10 00:00:00,3305700
24,16.82,17.36,16.3,16.39,ok,2020-02-11 00:00:00,2388100
25,18.35,18.69,16.9,17.07,ok,2020-02-12 00:00:00,3997300
26,17.91,18.65,17.25,18.48,ok,2020-02-13 00:00:00,1543000
27,17.33,18.3,16.86,17.96,ok,2020-02-14 00:00:00,1285400
28,17.29,17.77,16.65,17.55,ok,2020-02-18 00:00:00,1365500
29,17.97,18.36,17.65,17.96,ok,2020-02-19 00:00:00,1684400
30,17.65,18.14,16.75,18.13,ok,2020-02-20 00:00:00,1379800
31,16.95,17.617,16.85,17.57,ok,2020-02-21 00:00:00,579000
32,16.64,16.821,15.8,16.44,ok,2020-02-24 00:00:00,1203700
33,16.96,17.822,16.5,17.37,ok,2020-02-25 00:00:00,1852700
34,16.83,17.65,16.382,17.39,ok,2020-02-26 00:00:00,1415100
35,16.17,16.7,15.94,16.31,ok,2020-02-27 00:00:00,1291200
36,16.02,16.15,15.35,15.68,ok,2020-02-28 00:00:00,978800
37,16.66,17.05,16.1,16.1,ok,2020-03-02 00:00:00,829400
38,16.41,17.05,16.25,17.0,ok,2020-03-03 00:00:00,880600
39,18.69,19.5,16.532,16.67,ok,2020-03-04 00:00:00,2632700
40,17.94,18.83,17.55,17.79,ok,2020-03-05 00:00:00,2419900
41,16.83,17.465,16.7,17.4,ok,2020-03-06 00:00:00,2023800
42,17.01,17.45,14.5,15.0,ok,2020-03-09 00:00:00,2049500
43,16.6,17.99,16.01,17.66,ok,2020-03-10 00:00:00,2385000
44,14.5,16.75,13.501,16.25,ok,2020-03-11 00:00:00,3751300
45,11.17,12.74,10.6,11.0,ok,2020-03-12 00:00:00,7176400
46,12.45,12.45,11.23,12.29,ok,2020-03-13 00:00:00,2364200
47,11.8,12.0,10.9,11.0,ok,2020-03-16 00:00:00,2838200
48,12.89,13.04,11.27,11.46,ok,2020-03-17 00:00:00,2111200
49,11.4,12.74,11.25,12.0,ok,2020-03-18 00:00:00,1711900
50,11.4,12.5,11.4,11.4,ok,2020-03-19 00:00:00,1160300
51,11.48,12.23,11.05,11.5,ok,2020-03-20 00:00:00,1663800
52,11.3,11.96,10.92,11.36,ok,2020-03-23 00:00:00,1175000
53,11.85,13.04,11.6,11.95,ok,2020-03-24 00:00:00,1779200
54,13.0,13.49,11.8,12.22,ok,2020-03-25 00:00:00,3096300
55,13.21,13.89,12.15,12.89,ok,2020-03-26 00:00:00,2589000
56,12.69,12.96,12.01,12.8,ok,2020-03-27 00:00:00,2602600
57,12.21,12.8,11.63,12.67,ok,2020-03-30 00:00:00,1733900
58,12.34,12.7,11.9,12.49,ok,2020-03-31 00:00:00,1894700
59,11.77,12.24,11.55,12.24,ok,2020-04-01 00:00:00,799200
60,12.25,12.72,11.451,11.75,ok,2020-04-02 00:00:00,1462000
61,12.25,12.58,11.37,12.58,ok,2020-04-03 00:00:00,1533500
62,12.61,12.79,12.26,12.35,ok,2020-04-06 00:00:00,1525200
63,13.03,13.91,12.68,13.25,ok,2020-04-07 00:00:00,4083800
64,14.75,15.27,13.21,13.36,ok,2020-04-08 00:00:00,3268400
65,14.51,15.5,14.05,15.5,ok,2020-04-09 00:00:00,2377500
66,14.25,14.4,13.6,14.08,ok,2020-04-13 00:00:00,1634600
67,14.75,15.14,14.05,14.5,ok,2020-04-14 00:00:00,2630700
68,15.49,15.68,14.354,14.7,ok,2020-04-15 00:00:00,2363900
69,16.09,16.45,15.55,16.15,ok,2020-04-16 00:00:00,2760700
70,16.95,17.68,15.822,17.0,ok,2020-04-17 00:00:00,3566400
71,17.57,18.19,16.8,17.15,ok,2020-04-20 00:00:00,2778600
72,17.2,18.799,16.6,17.74,ok,2020-04-21 00:00:00,2448500
73,17.15,18.144,16.9,17.89,ok,2020-04-22 00:00:00,1640400
74,17.53,17.85,16.11,17.81,ok,2020-04-23 00:00:00,2797600
75,19.35,20.75,17.6,20.494,ok,2020-04-24 00:00:00,11444900
76,19.52,22.5,19.5,22.36,ok,2020-04-27 00:00:00,9594200
77,18.24,19.9,18.0,19.86,ok,2020-04-28 00:00:00,5725700
78,19.4,19.8,18.35,18.35,ok,2020-04-29 00:00:00,3649400
79,19.46,19.85,18.88,19.5,ok,2020-04-30 00:00:00,3974800
80,20.12,20.35,19.01,19.39,ok,2020-05-01 00:00:00,5242400
81,20.99,21.78,19.95,20.36,ok,2020-05-04 00:00:00,6358100
82,21.61,22.12,21.15,21.94,ok,2020-05-05 00:00:00,4574100
83,23.83,24.48,21.75,21.94,ok,2020-05-06 00:00:00,9025000
84,23.51,26.85,23.04,24.3,ok,2020-05-07 00:00:00,13208900
85,23.45,24.75,23.178,24.35,ok,2020-05-08 00:00:00,5183000
86,24.46,25.16,23.5,23.52,ok,2020-05-11 00:00:00,7682400
87,26.3,28.15,24.8,26.15,ok,2020-05-12 00:00:00,17382300
88,25.855,27.95,23.5,27.44,ok,2020-05-13 00:00:00,14175800
89,25.31,27.25,25.02,26.85,ok,2020-05-14 00:00:00,12180000
90,29.23,29.4,25.35,25.89,ok,2020-05-15 00:00:00,24708100
91,29.55,31.78,28.5,31.7,ok,2020-05-18 00:00:00,17305200
92,29.57,30.41,28.23,29.54,ok,2020-05-19 00:00:00,8694000
93,29.69,30.997,29.55,30.19,ok,2020-05-20 00:00:00,5879000
94,28.55,29.89,27.53,29.85,ok,2020-05-21 00:00:00,7661200
95,29.11,29.48,27.56,28.47,ok,2020-05-22 00:00:00,6474800
96,33.39,33.5,29.66,30.5,ok,2020-05-26 00:00:00,11200600
97,35.15,35.65,31.99,34.46,ok,2020-05-27 00:00:00,15697100
98,37.25,39.6,34.62,35.71,ok,2020-05-28 00:00:00,23177600
99,39.7,39.87,36.65,37.0,ok,2020-05-29 00:00:00,14844000
100,43.7,43.98,40.01,40.74,ok,2020-06-01 00:00:00,20525200
101,41.27,44.79,39.8,44.54,ok,2020-06-02 00:00:00,27807800
102,40.16,42.48,38.55,41.51,ok,2020-06-03 00:00:00,20116700
103,40.53,42.475,38.8,39.01,ok,2020-06-04 00:00:00,14722200
104,39.34,41.59,39.06,41.53,ok,2020-06-05 00:00:00,9699500
105,38.0,39.93,35.55,39.93,ok,2020-06-08 00:00:00,15237000
106,39.41,40.6,37.18,37.8,ok,2020-06-09 00:00:00,8798500
107,39.11,40.8,38.39,40.06,ok,2020-06-10 00:00:00,7110000
108,36.28,38.2,35.25,36.26,ok,2020-06-11 00:00:00,9994100
109,36.88,38.4,35.71,37.89,ok,2020-06-12 00:00:00,8143000
110,41.79,41.79,35.5,35.65,ok,2020-06-15 00:00:00,17166500
111,40.57,41.8,39.1,40.96,ok,2020-06-16 00:00:00,11135200
112,40.72,42.08,38.5,38.68,ok,2020-06-17 00:00:00,18133000
113,40.84,42.8,39.76,39.89,ok,2020-06-18 00:00:00,15449800
114,42.0,42.53,39.89,41.6,ok,2020-06-19 00:00:00,46279500
115,38.255,43.75,38.13,42.96,ok,2020-06-22 00:00:00,29652100
116,37.99,40.533,37.77,39.75,ok,2020-06-23 00:00:00,20096900
117,37.56,39.33,36.5,37.95,ok,2020-06-24 00:00:00,12890300
118,36.07,37.07,34.22,37.0,ok,2020-06-25 00:00:00,18711400
119,33.34,36.82,32.67,36.82,ok,2020-06-26 00:00:00,24395600
120,33.54,34.38,30.82,33.16,ok,2020-06-29 00:00:00,20055500
121,33.26,34.65,32.34,33.06,ok,2020-06-30 00:00:00,13638000
122,33.87,35.15,33.28,34.06,ok,2020-07-01 00:00:00,13891600
123,33.06,35.05,32.85,34.61,ok,2020-07-02 00:00:00,9233100
124,32.42,33.98,32.16,33.73,ok,2020-07-06 00:00:00,9790300
125,30.6,32.3,30.45,31.704,ok,2020-07-07 00:00:00,10303900
126,33.1,33.36,30.56,30.75,ok,2020-07-08 00:00:00,11022300
127,32.82,34.24,31.85,33.83,ok,2020-07-09 00:00:00,7927300
128,32.43,33.1,31.76,32.41,ok,2020-07-10 00:00:00,5215800
129,29.5,32.87,29.33,32.55,ok,2020-07-13 00:00:00,11732400
130,30.215,30.4,27.54,29.0,ok,2020-07-14 00:00:00,13161000
131,32.56,32.96,30.8,31.15,ok,2020-07-15 00:00:00,11668800
132,35.64,36.12,31.77,32.5,ok,2020-07-16 00:00:00,18160300
133,35.36,36.88,34.59,36.65,ok,2020-07-17 00:00:00,11155100
134,35.41,36.75,34.76,35.42,ok,2020-07-20 00:00:00,8417900
135,37.55,38.84,35.95,36.3,ok,2020-07-21 00:00:00,15166900
136,37.75,38.03,35.84,37.8,ok,2020-07-22 00:00:00,9975100
137,36.21,38.35,35.411,37.663,ok,2020-07-23 00:00:00,9840200
138,37.55,37.68,34.18,35.305,ok,2020-07-24 00:00:00,10971300
139,35.115,38.04,32.39,37.55,ok,2020-07-27 00:00:00,53606405
140,34.63,36.1,34.3,35.97,ok,2020-07-28 00:00:00,11493800
141,35.89,36.24,33.57,35.0,ok,2020-07-29 00:00:00,11040700
142,34.79,35.65,34.46,34.637,ok,2020-07-30 00:00:00,15199808
143,33.375,35.77,32.28,35.46,ok,2020-07-31 00:00:00,29045897
144,32.95,33.29,31.65,32.84,ok,2020-08-03 00:00:00,17026353
145,33.06,33.84,32.3,32.38,ok,2020-08-04 00:00:00,4402900
146,32.55,33.7,32.11,33.29,ok,2020-08-05 00:00:00,9233227
147,33.65,34.27,32.37,32.37,ok,2020-08-06 00:00:00,13328515
148,34.09,35.42,33.51,34.45,ok,2020-08-07 00:00:00,8890500
149,31.61,34.1,30.51,34.05,ok,2020-08-10 00:00:00,16120100
150,32.04,33.227,31.5,32.1,ok,2020-08-11 00:00:00,9547200
151,33.74,34.08,31.91,32.47,ok,2020-08-12 00:00:00,8417200
152,36.05,36.17,34.159,32.47,ok,2020-08-13 00:00:00,25585585
153,33.91,35.5,32.42,34.004,ok,2020-08-14 00:00:00,24298300
154,34.68,35.73,33.46,34.16,ok,2020-08-17 00:00:00,7929900
155,37.21,37.61,34.87,35.0,ok,2020-08-18 00:00:00,24884543
156,36.27,38.17,36.22,37.01,ok,2020-08-19 00:00:00,8393100
157,36.32,37.02,35.1,35.5,ok,2020-08-20 00:00:00,6016000
158,35.15,36.595,34.645,36.01,ok,2020-08-21 00:00:00,6439000
159,35.81,35.9,34.28,35.71,ok,2020-08-24 00:00:00,7599300
160,39.06,40.06,35.43,35.88,ok,2020-08-25 00:00:00,26762600
161,38.86,40.72,38.15,39.59,ok,2020-08-26 00:00:00,16781700
162,39.06,40.44,36.51,37.19,ok,2020-08-27 00:00:00,16452900
163,36.32,38.61,36.19,37.99,ok,2020-08-28 00:00:00,18630500
164,35.36,37.34,34.85,36.52,ok,2020-08-31 00:00:00,8565800
165,36.93,37.18,35.22,35.4,ok,2020-09-01 00:00:00,7749200
166,39.9,41.294,37.11,41.07,ok,2020-09-02 00:00:00,50147500
167,38.27,40.89,37.2,39.83,ok,2020-09-03 00:00:00,35831023
168,37.0,38.97,34.47,37.94,ok,2020-09-04 00:00:00,12715300
169,37.01,38.17,35.52,35.6,ok,2020-09-08 00:00:00,16963500
170,40.38,40.81,37.1,38.3,ok,2020-09-09 00:00:00,17851900
171,42.54,44.08,40.55,41.075,ok,2020-09-10 00:00:00,29967000
172,41.46,43.88,40.3,43.2,ok,2020-09-11 00:00:00,14741300
173,48.62,49.31,40.34,41.97,ok,2020-09-14 00:00:00,50201035
174,48.21,49.88,46.511,47.79,ok,2020-09-15 13:30:00,34987900
175,51.03,53.254,49.5,49.91,ok,2020-09-16 13:30:00,49445400
176,53.11,54.32,48.05,49.1,ok,2020-09-17 13:30:00,48095500
177,55.39,55.7,52.6,53.25,ok,2020-09-18 13:30:00,36566600
178,51.49,53.98,49.1,53.32,ok,2020-09-21 13:30:00,30988000
179,53.94,54.76,51.67,52.3,ok,2020-09-22 13:30:00,19666000
180,50.12,54.958,50.01,53.944,ok,2020-09-23 13:30:00,14877600
181,50.57,51.85,47.101,49.4,ok,2020-09-24 13:30:00,21008500
182,53.19,53.59,51.4,53.47,ok,2020-09-25 13:30:00,21776800
183,56.89,58.39,53.85,55.25,ok,2020-09-28 13:30:00,28655800
184,55.74,59.45,55.6,57.32,ok,2020-09-29 13:30:00,32564100
185,58.84,59.12,55.8,56.2,ok,2020-09-30 13:30:00,19002800
186,61.83,62.73,59.82,61.78,ok,2020-10-01 13:30:00,24122700
187,63.78,64.19,58.85,58.99,ok,2020-10-02 13:30:00,20483900
188,60.55,62.45,58.6,61.34,ok,2020-10-05 13:30:00,34511900
189,56.78,60.36,55.8,59.95,ok,2020-10-06 13:30:00,27202700
190,53.33,54.88,52.2,52.86,ok,2020-10-07 13:30:00,65474600
191,51.13,54.78,50.61,54.158,ok,2020-10-08 13:30:00,37242500
192,48.82,51.7,48.26,50.75,ok,2020-10-09 13:30:00,29572800
193,50.6,52.52,50.33,51.01,ok,2020-10-12 13:30:00,31713500
194,51.18,51.4,49.525,50.85,ok,2020-10-13 13:30:00,19134200
195,47.56,52.22,47.5,51.51,ok,2020-10-14 13:30:00,27246700
196,45.0,48.47,44.8,47.52,ok,2020-10-15 13:30:00,36048200
197,44.34,46.53,43.5,45.5,ok,2020-10-16 13:30:00,39295700
198,44.58,44.97,41.7,44.43,ok,2020-10-19 13:30:00,49951400
199,42.53,44.97,42.3,43.01,ok,2020-10-20 13:30:00,70239700
