,close,high,low,open,s,time,volume
0,3.51,3.87,3.49,3.86,ok,2020-05-01 13:30:00,28024300
1,3.59,3.78,3.18,3.41,ok,2020-05-04 13:30:00,27758000
2,3.01,3.4,2.8,3.16,ok,2020-05-05 13:30:00,49965100
3,2.92,3.2,2.91,3.16,ok,2020-05-06 13:30:00,13416100
4,3.05,3.1,2.8,3.0,ok,2020-05-07 13:30:00,14429800
5,3.27,3.38,3.04,3.15,ok,2020-05-08 13:30:00,17481600
6,3.19,3.35,3.03,3.35,ok,2020-05-11 13:30:00,11160800
7,2.9,3.24,2.89,3.05,ok,2020-05-12 13:30:00,12967900
8,2.76,2.92,2.6,2.92,ok,2020-05-13 13:30:00,11968300
9,2.79,2.81,2.32,2.61,ok,2020-05-14 13:30:00,14562500
10,2.64,2.84,2.61,2.71,ok,2020-05-15 13:30:00,7272600
11,3.17,3.3,2.87,3.03,ok,2020-05-18 13:30:00,23110000
12,2.96,3.4,2.9,3.38,ok,2020-05-19 13:30:00,19827500
13,3.01,3.19,2.88,3.06,ok,2020-05-20 13:30:00,21884400
14,3.07,3.14,2.95,3.0,ok,2020-05-21 13:30:00,16749600
15,2.84,3.04,2.8,3.03,ok,2020-05-22 13:30:00,25626800
16,0.555,1.47,0.4,0.41,ok,2020-05-26 13:30:00,143585000
17,1.31,1.49,0.8,0.91,ok,2020-05-27 13:30:00,345869800
18,1.02,1.22,1.0,1.16,ok,2020-05-28 13:30:00,119569500
19,1.0,1.13,1.0,1.07,ok,2020-05-29 13:30:00,40261000
20,0.89,1.05,0.835,1.01,ok,2020-06-01 13:30:00,60753400
21,0.853,0.93,0.82,0.91,ok,2020-06-02 13:30:00,41301400
22,0.816,0.86,0.78,0.857,ok,2020-06-03 13:30:00,38080300
23,1.5,1.87,0.8,0.8,ok,2020-06-04 13:30:00,267963600
24,2.57,3.7,2.31,3.48,ok,2020-06-05 13:30:00,342187100
25,5.53,6.25,3.09,3.37,ok,2020-06-08 13:30:00,533891800
26,4.18,5.8,3.4,4.78,ok,2020-06-09 13:30:00,299658900
27,2.52,3.85,2.5,3.54,ok,2020-06-10 13:30:00,223181000
28,2.06,2.47,1.71,1.87,ok,2020-06-11 13:30:00,125327200
29,2.83,3.47,2.56,3.21,ok,2020-06-12 13:30:00,283984500
30,1.88,2.72,1.73,2.19,ok,2020-06-15 13:30:00,176826500
31,1.95,2.28,1.75,2.13,ok,2020-06-16 13:30:00,93974200
32,2.0,2.35,1.76,1.85,ok,2020-06-17 13:30:00,127195600
33,1.8,1.97,1.8,1.93,ok,2020-06-18 13:30:00,38443400
34,1.73,1.86,1.66,1.85,ok,2020-06-19 13:30:00,34908400
35,1.4,1.66,1.32,1.64,ok,2020-06-22 13:30:00,43689300
36,1.24,1.29,1.11,1.25,ok,2020-06-23 13:30:00,43315000
37,1.61,2.49,1.38,1.56,ok,2020-06-24 13:30:00,275883900
38,1.69,1.98,1.56,1.95,ok,2020-06-25 13:30:00,82578800
39,1.49,1.61,1.36,1.56,ok,2020-06-26 13:30:00,39250900
40,1.45,1.58,1.38,1.55,ok,2020-06-29 13:30:00,20256300
41,1.41,1.48,1.39,1.46,ok,2020-06-30 13:30:00,13152100
42,1.47,1.56,1.41,1.44,ok,2020-07-01 13:30:00,20735600
43,1.5,1.58,1.43,1.55,ok,2020-07-02 13:30:00,15620800
44,1.46,1.58,1.41,1.56,ok,2020-07-06 13:30:00,14723000
45,0.895,0.94,0.63,0.715,ok,2020-11-02 14:30:00,19569400
46,0.88,1.04,0.831,0.92,ok,2020-11-03 14:30:00,22788900
47,0.856,0.945,0.85,0.9,ok,2020-11-04 14:30:00,7171600
48,0.9,0.92,0.807,0.85,ok,2020-11-05 14:30:00,7453800
49,1.15,1.33,0.91,1.03,ok,2020-11-06 14:30:00,21791200
50,1.32,1.5,1.26,1.39,ok,2020-11-09 14:30:00,16068600
51,1.17,1.42,1.15,1.33,ok,2020-11-10 14:30:00,8399200
52,1.16,1.25,1.15,1.17,ok,2020-11-11 14:30:00,5141500
53,1.14,1.22,1.03,1.17,ok,2020-11-12 14:30:00,7074300
54,1.105,1.16,1.09,1.14,ok,2020-11-13 14:30:00,2924500
55,1.09,1.17,1.07,1.16,ok,2020-11-16 14:30:00,5231600
56,1.09,1.09,1.0,1.07,ok,2020-11-17 14:30:00,5991200
57,1.11,1.16,1.1,1.13,ok,2020-11-18 14:30:00,3230500
58,1.13,1.18,1.11,1.18,ok,2020-11-19 14:30:00,2583400
59,1.11,1.17,1.1,1.16,ok,2020-11-20 14:30:00,2862900
60,1.075,1.15,1.05,1.15,ok,2020-11-23 14:30:00,4250000
61,1.32,1.4,1.07,1.07,ok,2020-11-24 14:30:00,10047900
62,1.34,1.4,1.24,1.39,ok,2020-11-25 14:30:00,5996100
63,1.41,1.49,1.33,1.34,ok,2020-11-27 14:30:00,4420600
64,1.59,1.65,1.43,1.48,ok,2020-11-30 14:30:00,6359400
65,1.71,1.88,1.62,1.64,ok,2020-12-01 14:30:00,6523600
66,1.77,1.87,1.72,1.79,ok,2020-12-02 14:30:00,4526700
67,1.91,1.92,1.77,1.79,ok,2020-12-03 14:30:00,7689100
68,2.27,2.3,1.93,1.93,ok,2020-12-04 14:30:00,16630000
69,2.53,2.67,2.27,2.28,ok,2020-12-07 14:30:00,13274400
70,2.01,2.62,1.8,2.5,ok,2020-12-08 14:30:00,21033200
