,close,high,low,open,s,time,volume
0,10.02,10.03,10.02,10.03,ok,2020-01-07 14:30:00,220200
1,10.03,10.03,9.98,9.99,ok,2020-01-08 14:30:00,107900
2,10.03,10.03,10.03,10.03,ok,2020-01-09 14:30:00,0
3,10.03,10.05,10.03,10.05,ok,2020-01-10 14:30:00,352100
4,10.03,10.03,10.03,10.03,ok,2020-01-13 14:30:00,0
5,10.03,10.03,10.03,10.03,ok,2020-01-14 14:30:00,0
6,10.03,10.03,10.03,10.03,ok,2020-01-15 14:30:00,0
7,10.05,10.05,10.03,10.03,ok,2020-01-16 14:30:00,200400
8,10.04,10.05,10.03,10.05,ok,2020-01-17 14:30:00,9700
9,10.03,10.05,10.03,10.04,ok,2020-01-21 14:30:00,39900
10,10.03,10.041,10.03,10.04,ok,2020-01-22 14:30:00,49900
11,10.07,10.07,10.04,10.04,ok,2020-01-23 14:30:00,169200
12,10.03,10.08,10.03,10.08,ok,2020-01-24 14:30:00,753800
13,10.02,10.07,10.02,10.07,ok,2020-01-27 14:30:00,116900
14,10.03,10.03,10.03,10.03,ok,2020-01-28 14:30:00,5500
15,10.035,10.04,10.03,10.04,ok,2020-01-29 14:30:00,108000
16,10.03,10.03,10.03,10.03,ok,2020-01-30 14:30:00,25200
17,10.03,10.03,10.03,10.03,ok,2020-01-31 14:30:00,50000
18,10.03,10.03,10.0,10.0,ok,2020-02-03 14:30:00,122400
19,10.07,10.07,10.03,10.03,ok,2020-02-04 14:30:00,27700
20,10.07,10.07,10.07,10.07,ok,2020-02-05 14:30:00,0
21,10.03,10.03,10.03,10.03,ok,2020-02-06 14:30:00,200
22,10.03,10.03,10.03,10.03,ok,2020-02-07 14:30:00,0
23,10.03,10.045,10.03,10.03,ok,2020-02-10 14:30:00,271800
24,10.03,10.03,10.03,10.03,ok,2020-02-11 14:30:00,0
25,10.05,10.05,10.03,10.03,ok,2020-02-12 14:30:00,400100
26,10.05,10.05,10.049,10.05,ok,2020-02-13 14:30:00,651100
27,10.05,10.08,10.05,10.08,ok,2020-02-14 14:30:00,126600
28,10.04,10.05,10.04,10.05,ok,2020-02-18 14:30:00,25600
29,10.04,10.04,10.04,10.04,ok,2020-02-19 14:30:00,500
30,10.04,10.04,10.04,10.04,ok,2020-02-20 14:30:00,0
31,10.05,10.05,10.05,10.05,ok,2020-02-21 14:30:00,99200
32,10.05,10.07,10.05,10.05,ok,2020-02-24 14:30:00,261900
33,10.047,10.05,10.045,10.05,ok,2020-02-25 14:30:00,110300
34,10.04,10.055,10.04,10.05,ok,2020-02-26 14:30:00,252600
35,10.03,10.049,10.03,10.04,ok,2020-02-27 14:30:00,93900
36,10.03,10.03,10.02,10.03,ok,2020-02-28 14:30:00,18000
37,10.07,10.07,10.07,10.07,ok,2020-03-02 14:30:00,100
