,close,high,low,open,s,time,volume
0,23.36,23.55,22.959,23.06,ok,2020-01-07 00:00:00,8139700
1,24.02,24.14,23.28,23.33,ok,2020-01-08 00:00:00,8865500
2,24.52,24.89,24.26,24.5,ok,2020-01-09 00:00:00,9342600
3,23.9,24.81,23.47,24.81,ok,2020-01-10 00:00:00,8669000
4,23.98,24.23,23.77,24.19,ok,2020-01-13 00:00:00,5491100
5,23.87,24.125,23.55,23.55,ok,2020-01-14 00:00:00,9675700
6,23.68,23.97,23.5,23.81,ok,2020-01-15 00:00:00,8568800
7,23.78,23.97,23.49,23.79,ok,2020-01-16 00:00:00,4830600
8,23.91,24.07,23.74,23.98,ok,2020-01-17 00:00:00,7780400
9,23.91,23.99,22.86,23.19,ok,2020-01-21 00:00:00,7511500
10,24.16,25.14,24.12,24.29,ok,2020-01-22 00:00:00,10480700
11,23.93,24.07,23.6,23.8,ok,2020-01-23 00:00:00,4832400
12,21.89,23.91,21.51,23.9,ok,2020-01-24 00:00:00,15722300
13,21.99,22.24,20.4,20.81,ok,2020-01-27 00:00:00,7852700
14,22.51,22.8,21.91,22.4,ok,2020-01-28 00:00:00,6785800
15,22.53,22.8,22.31,22.72,ok,2020-01-29 00:00:00,6127200
16,22.43,22.75,21.94,22.0,ok,2020-01-30 00:00:00,4821800
17,22.24,22.414,21.8,22.37,ok,2020-01-31 00:00:00,5927200
18,23.85,24.65,22.94,23.0,ok,2020-02-03 00:00:00,13494200
19,24.14,24.8,23.99,24.78,ok,2020-02-04 00:00:00,8126300
20,23.78,24.66,23.56,24.66,ok,2020-02-05 00:00:00,5821200
21,24.8,25.115,23.81,23.98,ok,2020-02-06 00:00:00,10679700
22,24.62,24.98,24.32,24.7,ok,2020-02-07 00:00:00,4132800
23,25.35,25.47,24.62,24.63,ok,2020-02-10 00:00:00,9095000
24,26.27,26.975,25.69,26.01,ok,2020-02-11 00:00:00,11181900
25,27.07,27.5,26.58,26.79,ok,2020-02-12 00:00:00,12113800
26,27.18,27.44,26.02,26.5,ok,2020-02-13 00:00:00,9059600
27,26.93,27.48,26.75,27.42,ok,2020-02-14 00:00:00,4033900
28,25.3,26.5,24.83,26.45,ok,2020-02-18 00:00:00,12435500
29,25.05,25.75,24.82,25.55,ok,2020-02-19 00:00:00,9804500
30,24.72,25.39,24.43,24.99,ok,2020-02-20 00:00:00,8496800
31,24.1,24.7,23.88,24.49,ok,2020-02-21 00:00:00,5623300
32,24.18,24.38,22.66,22.94,ok,2020-02-24 00:00:00,6856300
33,23.98,24.8,23.64,24.75,ok,2020-02-25 00:00:00,11893800
34,24.26,24.88,24.08,24.25,ok,2020-02-26 00:00:00,6448200
35,24.42,25.0,23.51,24.19,ok,2020-02-27 00:00:00,10228300
36,22.43,23.0,21.153,22.94,ok,2020-02-28 00:00:00,14990300
37,23.79,23.83,22.2,22.83,ok,2020-03-02 00:00:00,7378200
38,23.36,24.75,22.97,23.83,ok,2020-03-03 00:00:00,7186400
39,23.93,24.125,23.55,23.74,ok,2020-03-04 00:00:00,5175100
40,23.43,23.9,23.11,23.4,ok,2020-03-05 00:00:00,6389400
41,21.5,23.05,20.93,22.83,ok,2020-03-06 00:00:00,10098700
42,20.01,20.57,18.89,20.06,ok,2020-03-09 00:00:00,8376600
43,20.85,21.04,19.98,20.84,ok,2020-03-10 00:00:00,4965100
44,19.76,20.9,19.58,20.1,ok,2020-03-11 00:00:00,5628800
45,18.54,18.96,16.27,18.37,ok,2020-03-12 00:00:00,8912100
46,18.69,19.774,17.715,19.4,ok,2020-03-13 00:00:00,6232100
47,17.57,18.39,16.51,16.92,ok,2020-03-16 00:00:00,6163800
48,18.19,18.45,16.555,17.79,ok,2020-03-17 00:00:00,6426500
49,17.02,17.79,15.82,16.5,ok,2020-03-18 00:00:00,6987200
50,17.15,17.925,16.12,16.59,ok,2020-03-19 00:00:00,6306700
51,17.54,18.25,17.24,17.89,ok,2020-03-20 00:00:00,5114200
52,17.47,17.76,16.55,17.6,ok,2020-03-23 00:00:00,5387700
53,18.71,18.97,17.8,18.46,ok,2020-03-24 00:00:00,6051300
54,18.55,20.165,18.46,18.78,ok,2020-03-25 00:00:00,9415600
55,19.51,19.83,18.75,18.99,ok,2020-03-26 00:00:00,5854900
56,18.58,18.97,18.05,18.82,ok,2020-03-27 00:00:00,5736100
57,18.66,18.82,18.21,18.76,ok,2020-03-30 00:00:00,8431200
58,17.8,18.99,17.67,18.47,ok,2020-03-31 00:00:00,14388700
59,18.18,18.58,17.27,17.59,ok,2020-04-01 00:00:00,4223300
60,17.9,18.53,17.61,18.18,ok,2020-04-02 00:00:00,6242900
61,17.06,17.86,16.57,17.85,ok,2020-04-03 00:00:00,8712500
62,16.76,17.44,16.68,17.2,ok,2020-04-06 00:00:00,8542700
63,17.3,17.55,14.51,17.5,ok,2020-04-07 00:00:00,60064600
64,16.51,16.74,15.71,16.105,ok,2020-04-08 00:00:00,35105300
65,17.37,17.79,16.39,16.45,ok,2020-04-09 00:00:00,17791900
66,17.43,17.49,16.935,17.21,ok,2020-04-13 00:00:00,7992000
67,18.05,18.56,17.875,18.0,ok,2020-04-14 00:00:00,10723900
68,18.45,18.645,17.53,17.84,ok,2020-04-15 00:00:00,6125600
69,19.24,19.35,18.64,18.64,ok,2020-04-16 00:00:00,6435000
70,19.28,19.82,18.855,19.765,ok,2020-04-17 00:00:00,4894600
71,19.25,19.69,18.921,18.98,ok,2020-04-20 00:00:00,5161100
72,18.57,18.98,18.07,18.83,ok,2020-04-21 00:00:00,7982500
73,18.43,18.74,18.07,18.68,ok,2020-04-22 00:00:00,6849000
74,18.14,18.67,17.93,18.26,ok,2020-04-23 00:00:00,4758200
75,17.76,18.198,17.12,18.15,ok,2020-04-24 00:00:00,7282900
76,17.22,17.75,17.14,17.75,ok,2020-04-27 00:00:00,8948200
77,16.65,17.279,16.13,17.22,ok,2020-04-28 00:00:00,8616000
78,17.22,17.507,16.45,16.95,ok,2020-04-29 00:00:00,5838500
79,16.97,17.53,16.64,17.13,ok,2020-04-30 00:00:00,8166400
80,16.36,16.64,16.06,16.62,ok,2020-05-01 00:00:00,6470900
81,16.43,16.65,16.13,16.2,ok,2020-05-04 00:00:00,5424800
82,16.57,17.06,16.57,16.64,ok,2020-05-05 00:00:00,3933100
83,16.96,17.335,16.835,16.845,ok,2020-05-06 00:00:00,3701600
84,16.83,17.514,16.79,17.11,ok,2020-05-07 00:00:00,5085200
85,17.53,17.64,17.0,17.05,ok,2020-05-08 00:00:00,4824200
86,17.9,18.235,17.45,17.52,ok,2020-05-11 00:00:00,4357900
87,17.8,18.28,17.8,18.02,ok,2020-05-12 00:00:00,3858700
88,17.33,18.145,16.882,18.09,ok,2020-05-13 00:00:00,9437000
89,17.48,17.72,16.5,17.2,ok,2020-05-14 00:00:00,5873300
90,17.95,18.055,17.39,17.5,ok,2020-05-15 00:00:00,6759200
91,18.33,18.84,17.97,18.38,ok,2020-05-18 00:00:00,12689000
92,17.66,18.2,16.56,17.5,ok,2020-05-19 00:00:00,18251500
93,16.76,17.94,15.88,17.63,ok,2020-05-20 00:00:00,17220600
