,close,high,low,open,s,time,volume
0,10.33,10.44,10.33,10.44,ok,2020-01-07 00:00:00,42900
1,10.342,10.35,10.3,10.33,ok,2020-01-08 00:00:00,1247500
2,10.35,10.35,10.35,10.35,ok,2020-01-09 00:00:00,168700
3,10.33,10.35,10.33,10.35,ok,2020-01-10 00:00:00,370000
4,10.34,10.35,10.34,10.35,ok,2020-01-13 00:00:00,25600
5,10.35,10.35,10.35,10.35,ok,2020-01-14 00:00:00,10000
6,10.35,10.36,10.345,10.348,ok,2020-01-16 00:00:00,672400
7,10.34,10.36,10.34,10.35,ok,2020-01-17 00:00:00,667000
8,10.35,10.36,10.34,10.34,ok,2020-01-21 00:00:00,356700
9,10.35,10.35,10.35,10.35,ok,2020-01-22 00:00:00,33400
10,10.35,10.36,10.35,10.36,ok,2020-01-23 00:00:00,180000
11,10.34,10.35,10.34,10.35,ok,2020-01-24 00:00:00,350000
12,10.34,10.34,10.34,10.34,ok,2020-01-27 00:00:00,100000
13,10.345,10.345,10.345,10.345,ok,2020-01-28 00:00:00,100000
14,10.35,10.35,10.34,10.34,ok,2020-01-29 00:00:00,118000
15,10.348,10.355,10.34,10.34,ok,2020-01-30 00:00:00,256500
16,10.34,10.34,10.34,10.34,ok,2020-01-31 00:00:00,2600
17,10.35,10.35,10.35,10.35,ok,2020-02-03 00:00:00,2600
18,10.36,10.36,10.35,10.35,ok,2020-02-04 00:00:00,294600
19,10.36,10.36,10.36,10.36,ok,2020-02-05 00:00:00,6400
20,10.38,10.4,10.35,10.36,ok,2020-02-07 00:00:00,142800
21,10.4,10.495,10.365,10.38,ok,2020-02-10 00:00:00,155100
22,10.38,10.43,10.35,10.37,ok,2020-02-11 00:00:00,77100
23,10.38,10.38,10.36,10.38,ok,2020-02-12 00:00:00,128600
24,10.37,10.38,10.365,10.38,ok,2020-02-13 00:00:00,7600
25,10.36,10.36,10.36,10.36,ok,2020-02-14 00:00:00,20700
26,10.37,10.37,10.35,10.36,ok,2020-02-18 00:00:00,50700
27,10.34,10.34,10.34,10.34,ok,2020-02-19 00:00:00,5000
28,10.38,10.49,10.34,10.34,ok,2020-02-20 00:00:00,50500
29,10.49,10.62,10.37,10.38,ok,2020-02-21 00:00:00,2217800
30,10.45,10.47,10.34,10.34,ok,2020-02-24 00:00:00,99100
31,10.4,10.45,10.4,10.45,ok,2020-02-25 00:00:00,1900
32,10.39,10.44,10.39,10.44,ok,2020-02-26 00:00:00,1100
33,10.397,10.397,10.35,10.38,ok,2020-02-27 00:00:00,9600
34,10.37,10.385,10.34,10.38,ok,2020-02-28 00:00:00,489200
35,10.35,10.37,10.35,10.37,ok,2020-03-02 00:00:00,200100
36,11.5,12.2,11.24,11.64,ok,2020-03-03 00:00:00,18065900
37,14.7,15.45,12.0,12.5,ok,2020-03-04 00:00:00,16682300
38,14.7,16.25,14.5,14.78,ok,2020-03-05 00:00:00,7858000
39,13.74,14.28,12.76,13.9,ok,2020-03-06 00:00:00,2948800
40,11.76,13.0,11.28,12.99,ok,2020-03-09 00:00:00,3149800
41,12.0,12.8,11.61,12.74,ok,2020-03-10 00:00:00,1671800
42,11.35,12.0,11.18,11.99,ok,2020-03-11 00:00:00,1602600
43,11.02,11.57,10.56,11.0,ok,2020-03-12 00:00:00,2165700
44,11.24,11.76,10.75,11.5,ok,2020-03-13 00:00:00,837100
45,10.94,11.42,10.51,10.75,ok,2020-03-16 00:00:00,1089300
46,10.76,11.17,10.7,11.0,ok,2020-03-17 00:00:00,797800
47,10.5,10.907,10.42,10.6,ok,2020-03-18 00:00:00,1043400
48,10.7,11.33,10.451,10.5,ok,2020-03-19 00:00:00,964600
49,10.65,11.22,10.61,10.74,ok,2020-03-20 00:00:00,802500
50,10.7,11.14,10.56,10.56,ok,2020-03-23 00:00:00,655600
51,10.81,11.18,10.75,11.06,ok,2020-03-24 00:00:00,853600
52,10.95,11.31,10.7,10.91,ok,2020-03-25 00:00:00,535100
53,11.05,11.23,10.9,10.9,ok,2020-03-26 00:00:00,383500
54,10.88,11.04,10.82,11.0,ok,2020-03-27 00:00:00,273800
55,10.975,11.13,10.9,10.96,ok,2020-03-30 00:00:00,228200
56,10.64,11.15,10.55,11.15,ok,2020-03-31 00:00:00,705900
57,10.59,10.729,10.52,10.65,ok,2020-04-01 00:00:00,422400
58,10.8,10.85,10.51,10.51,ok,2020-04-02 00:00:00,225000
59,10.8,10.85,10.71,10.8,ok,2020-04-03 00:00:00,179900
60,11.0,11.18,10.81,11.0,ok,2020-04-06 00:00:00,448600
61,10.94,11.2,10.84,11.2,ok,2020-04-07 00:00:00,451600
62,11.01,11.33,10.9,11.12,ok,2020-04-08 00:00:00,495100
63,11.12,11.48,10.99,11.26,ok,2020-04-09 00:00:00,438400
64,11.75,12.05,11.05,11.25,ok,2020-04-13 00:00:00,1160000
65,12.14,12.68,11.96,12.4,ok,2020-04-14 00:00:00,1167200
66,11.8,12.2,11.35,12.14,ok,2020-04-15 00:00:00,662300
67,11.7,11.95,11.5,11.95,ok,2020-04-16 00:00:00,264200
68,11.74,12.0,11.61,12.0,ok,2020-04-17 00:00:00,325300
69,12.11,12.43,11.67,11.88,ok,2020-04-20 00:00:00,1159800
70,11.64,12.25,11.32,12.25,ok,2020-04-21 00:00:00,581700
71,12.05,12.34,11.72,11.83,ok,2020-04-22 00:00:00,935200
72,12.33,12.45,12.1,12.15,ok,2020-04-23 00:00:00,645200
73,12.7,13.3,12.35,12.57,ok,2020-04-24 00:00:00,1660200
74,14.35,14.9,13.0,13.04,ok,2020-04-27 00:00:00,2672800
75,13.9,14.85,13.52,14.8,ok,2020-04-28 00:00:00,1310900
76,13.94,14.376,13.56,14.29,ok,2020-04-29 00:00:00,2289000
77,13.25,14.12,13.1,14.12,ok,2020-04-30 00:00:00,1252400
78,13.0,13.44,12.73,13.28,ok,2020-05-01 00:00:00,955500
79,13.09,13.55,12.9,13.1,ok,2020-05-04 00:00:00,892400
80,13.23,13.88,13.13,13.47,ok,2020-05-05 00:00:00,992600
81,13.18,13.44,13.1,13.44,ok,2020-05-06 00:00:00,696000
82,14.85,15.25,14.01,14.19,ok,2020-05-07 00:00:00,2656300
83,16.51,18.29,15.555,16.04,ok,2020-05-08 00:00:00,6452500
84,20.38,21.53,17.61,18.97,ok,2020-05-11 00:00:00,11042300
85,27.1,27.7,20.66,22.0,ok,2020-05-12 00:00:00,19784600
86,30.3,35.38,25.01,32.68,ok,2020-05-13 00:00:00,44573900
87,25.79,29.25,25.15,27.72,ok,2020-05-14 00:00:00,11446400
88,22.62,25.21,20.6,23.5,ok,2020-05-15 00:00:00,12928700
89,21.83,23.75,20.2,23.19,ok,2020-05-18 00:00:00,7512000
90,25.18,26.3,21.41,22.02,ok,2020-05-19 00:00:00,8617200
91,22.85,26.9,22.85,26.0,ok,2020-05-20 00:00:00,5508200
92,24.08,24.79,23.0,23.0,ok,2020-05-21 00:00:00,3323100
93,25.66,26.5,23.522,24.35,ok,2020-05-22 00:00:00,4010600
94,28.5,29.64,26.5,27.35,ok,2020-05-26 00:00:00,6646000
95,28.63,30.45,26.28,30.0,ok,2020-05-27 00:00:00,4624000
96,27.5,30.19,27.5,28.88,ok,2020-05-28 00:00:00,4408800
97,28.7,28.931,27.11,27.92,ok,2020-05-29 00:00:00,2761200
98,33.99,34.35,30.0,30.28,ok,2020-06-01 00:00:00,8885000
99,31.37,38.0,30.67,37.8,ok,2020-06-02 00:00:00,19145800
100,33.97,34.8,30.08,33.69,ok,2020-06-03 00:00:00,10732900
101,33.75,38.88,31.25,37.55,ok,2020-06-04 00:00:00,16566600
102,35.97,35.98,32.75,35.65,ok,2020-06-05 00:00:00,8386800
103,73.27,73.7,40.42,42.0,ok,2020-06-08 00:00:00,50028700
104,79.73,93.99,56.995,93.13,ok,2020-06-09 00:00:00,70812700
105,65.01,77.0,64.95,75.51,ok,2020-06-10 00:00:00,25707200
106,60.5,68.99,53.0,55.0,ok,2020-06-11 00:00:00,23799800
107,64.0,67.59,61.0,67.44,ok,2020-06-12 00:00:00,11998600
108,68.13,69.0,59.21,62.8,ok,2020-06-15 00:00:00,17587900
109,62.93,73.5,61.2,71.53,ok,2020-06-16 00:00:00,21039200
110,64.06,68.98,61.4,65.09,ok,2020-06-17 00:00:00,20873600
111,67.73,67.99,62.33,64.53,ok,2020-06-18 00:00:00,16722000
112,65.9,69.8,64.59,68.5,ok,2020-06-19 00:00:00,12833100
113,70.0,70.0,63.9,64.01,ok,2020-06-22 00:00:00,17769200
114,75.06,75.71,68.3,69.26,ok,2020-06-23 00:00:00,20805200
115,74.19,76.3,69.01,74.26,ok,2020-06-24 00:00:00,19044900
116,71.1,74.72,70.2,72.02,ok,2020-06-25 00:00:00,13303700
117,63.55,73.649,62.87,72.09,ok,2020-06-26 00:00:00,15326600
118,67.57,71.92,65.55,68.22,ok,2020-06-29 00:00:00,14891700
119,67.53,70.83,64.53,67.12,ok,2020-06-30 00:00:00,13665600
120,65.9,68.91,64.874,67.18,ok,2020-07-01 00:00:00,9665400
121,57.19,65.2,55.0,64.27,ok,2020-07-02 00:00:00,22635200
122,48.92,59.03,47.97,58.9,ok,2020-07-06 00:00:00,24095800
123,40.23,47.39,40.1,46.89,ok,2020-07-07 00:00:00,26705700
124,54.03,55.43,45.03,46.58,ok,2020-07-08 00:00:00,51752600
125,56.724,59.85,54.0,59.42,ok,2020-07-09 00:00:00,37639200
126,54.24,55.75,52.12,54.92,ok,2020-07-10 00:00:00,17330400
127,53.95,57.0,53.0,56.77,ok,2020-07-13 00:00:00,13204200
128,53.14,53.55,51.0,51.85,ok,2020-07-14 00:00:00,10027700
129,54.58,55.6,51.95,51.95,ok,2020-07-15 00:00:00,11676900
130,52.53,54.374,51.89,53.97,ok,2020-07-16 00:00:00,10827600
131,48.84,53.1,48.31,52.5,ok,2020-07-17 00:00:00,24207400
132,38.45,41.0,38.0,39.2,ok,2020-07-20 00:00:00,38611400
133,39.75,41.56,39.12,40.34,ok,2020-07-21 00:00:00,17382400
134,36.57,39.7,36.16,39.65,ok,2020-07-22 00:00:00,19120400
135,33.94,37.2,33.81,37.12,ok,2020-07-23 00:00:00,19077600
136,29.92,32.38,29.23,32.23,ok,2020-07-24 00:00:00,30117100
137,33.2,35.0,31.11,31.6,ok,2020-07-27 00:00:00,59646638
138,32.75,34.1,31.71,33.99,ok,2020-07-28 00:00:00,11000000
139,31.23,32.8,30.281,32.32,ok,2020-07-29 00:00:00,12372100
140,29.06,30.5,29.0,30.2,ok,2020-07-30 00:00:00,14799800
141,30.0,30.95,29.22,29.68,ok,2020-07-31 00:00:00,10949200
142,36.49,36.68,30.87,31.74,ok,2020-08-03 00:00:00,51759200
143,38.84,39.81,35.6,38.75,ok,2020-08-04 00:00:00,56996000
144,35.03,36.24,32.15,32.79,ok,2020-08-05 00:00:00,32444400
145,36.3,38.01,34.99,34.99,ok,2020-08-06 00:00:00,19752600
146,36.72,37.67,35.58,36.25,ok,2020-08-07 00:00:00,11551900
147,44.81,45.72,40.25,41.6,ok,2020-08-10 00:00:00,59030200
148,41.1,44.25,40.6,43.5,ok,2020-08-11 00:00:00,21432800
149,42.81,43.64,41.411,42.0,ok,2020-08-12 00:00:00,10806700
150,45.97,47.45,43.31,43.55,ok,2020-08-13 00:00:00,23804300
151,45.96,46.95,44.36,46.87,ok,2020-08-14 00:00:00,12493900
152,43.57,46.65,41.828,46.2,ok,2020-08-17 00:00:00,13680600
153,41.76,43.88,41.05,43.85,ok,2020-08-18 00:00:00,9301100
