,close,high,low,open,s,time,volume
0,28.1885,29.0985,26.7385,27.1385,ok,2020-01-31 00:00:00,26201800
1,29.2351,29.6251,27.8251,27.8251,ok,2020-02-03 00:00:00,3814300
2,29.6794,30.1694,29.3694,29.9094,ok,2020-02-04 00:00:00,2640700
3,29.5806,30.3206,29.3806,29.9206,ok,2020-02-05 00:00:00,1502900
4,30.7654,31.0354,29.3754,29.7854,ok,2020-02-06 00:00:00,4197500
5,29.8176,31.0076,29.6776,30.8776,ok,2020-02-07 00:00:00,563500
6,31.0913,31.4713,29.7013,29.7513,ok,2020-02-10 00:00:00,596500
7,30.647,31.597,30.627,31.197,ok,2020-02-11 00:00:00,381600
8,30.4594,31.3394,30.2164,30.7194,ok,2020-02-12 00:00:00,412000
9,30.8938,30.9038,29.8538,30.0438,ok,2020-02-13 00:00:00,384400
10,30.6075,31.1075,30.4575,30.7775,ok,2020-02-14 00:00:00,212100
11,30.4001,30.8301,29.9951,30.1601,ok,2020-02-18 00:00:00,279800
12,29.8472,30.3372,29.5172,30.3372,ok,2020-02-19 00:00:00,635600
13,29.9361,30.6961,28.9361,29.6861,ok,2020-02-20 00:00:00,574600
14,30.3705,30.6305,29.4355,30.1905,ok,2020-02-21 00:00:00,337800
15,29.8373,30.3573,29.5073,29.9773,ok,2020-02-24 00:00:00,609800
16,29.709,30.469,29.519,30.129,ok,2020-02-25 00:00:00,697000
17,29.6004,30.1774,29.4004,29.7104,ok,2020-02-26 00:00:00,539100
18,28.6328,29.9678,28.5028,29.5328,ok,2020-02-27 00:00:00,665900
19,28.4847,29.0947,27.1347,27.9347,ok,2020-02-28 00:00:00,1083700
20,27.8725,29.8625,27.4625,28.8425,ok,2020-03-02 00:00:00,794100
21,27.7244,28.3694,27.2944,27.9544,ok,2020-03-03 00:00:00,568200
22,29.3535,29.4235,27.7335,28.0135,ok,2020-03-04 00:00:00,844600
23,29.6102,29.9602,28.1302,28.6702,ok,2020-03-05 00:00:00,637900
24,29.7583,29.8083,28.9283,29.2383,ok,2020-03-06 00:00:00,326300
25,28.5933,29.4513,27.5173,28.4433,ok,2020-03-09 00:00:00,920800
26,27.6751,28.9951,27.3751,27.6451,ok,2020-03-10 00:00:00,549900
27,28.0206,28.7306,27.1506,27.4006,ok,2020-03-11 00:00:00,2908100
28,24.7525,26.9825,24.2825,26.7725,ok,2020-03-12 00:00:00,761000
29,25.5273,25.8773,24.4523,25.3573,ok,2020-03-13 00:00:00,788400
30,24.2559,24.2859,21.4459,23.7859,ok,2020-03-16 00:00:00,1356000
31,25.1101,28.2601,24.1301,24.6001,ok,2020-03-17 00:00:00,666100
32,25.9544,26.2644,22.9144,24.0844,ok,2020-03-18 00:00:00,1622000
33,26.5305,27.8305,25.0905,26.3705,ok,2020-03-19 00:00:00,350800
34,27.792,29.547,25.892,27.152,ok,2020-03-20 00:00:00,3974900
35,26.6696,27.9646,25.1996,27.9296,ok,2020-03-23 00:00:00,828100
36,26.312,27.762,24.822,27.252,ok,2020-03-24 00:00:00,932200
37,27.8417,28.3016,25.0816,26.3016,ok,2020-03-25 00:00:00,1286400
38,26.7888,28.1088,25.5138,27.6788,ok,2020-03-26 00:00:00,646400
39,26.2921,26.6021,24.1921,26.1721,ok,2020-03-27 00:00:00,813000
40,27.4741,27.7141,25.3501,26.2541,ok,2020-03-30 00:00:00,608600
41,28.974,29.454,26.946,27.134,ok,2020-03-31 00:00:00,943700
42,28.1098,28.5098,26.9048,28.2698,ok,2020-04-01 00:00:00,467500
43,29.0137,30.0437,27.7637,28.1037,ok,2020-04-02 00:00:00,637400
44,29.7885,30.0985,28.2085,29.0585,ok,2020-04-03 00:00:00,739100
45,30.2156,30.7856,29.7056,30.3856,ok,2020-04-06 00:00:00,720500
46,29.7984,30.7984,29.2884,30.4884,ok,2020-04-07 00:00:00,435600
47,29.7785,30.1435,29.1885,29.2785,ok,2020-04-08 00:00:00,475000
48,29.6991,30.4171,29.2491,30.1491,ok,2020-04-09 00:00:00,756100
49,29.5799,29.7699,28.6399,29.6299,ok,2020-04-13 00:00:00,369400
50,29.3415,30.3015,29.0015,30.1715,ok,2020-04-14 00:00:00,383500
51,31.0599,31.7799,28.8149,28.8899,ok,2020-04-15 00:00:00,938400
52,29.5998,33.0198,29.3098,31.6498,ok,2020-04-16 00:00:00,1941400
53,30.2951,30.7151,28.0551,29.5451,ok,2020-04-17 00:00:00,1111400
54,30.1759,31.2759,29.6859,30.2959,ok,2020-04-20 00:00:00,482200
55,29.9573,30.2673,28.3073,28.8073,ok,2020-04-21 00:00:00,736700
56,30.4639,31.1939,29.9739,30.2139,ok,2020-04-22 00:00:00,807500
57,30.8513,31.1213,29.5613,30.4713,ok,2020-04-23 00:00:00,455200
58,31.0201,32.4381,30.0931,31.0701,ok,2020-04-24 00:00:00,577000
59,31.8346,32.0646,30.7846,31.0946,ok,2020-04-27 00:00:00,421600
60,31.8247,32.7147,31.6347,32.1547,ok,2020-04-28 00:00:00,429000
61,32.5498,33.0698,31.8698,32.1798,ok,2020-04-29 00:00:00,665700
62,32.2121,33.9621,31.4721,32.6121,ok,2020-04-30 00:00:00,924200
63,32.669,35.279,31.679,34.059,ok,2020-05-01 00:00:00,953900
64,33.9106,34.1806,32.4806,32.5806,ok,2020-05-04 00:00:00,685400
65,33.2848,34.9548,33.1848,34.2748,ok,2020-05-05 00:00:00,689400
66,33.7119,34.3219,33.2919,33.6119,ok,2020-05-06 00:00:00,847700
67,33.106,34.256,31.886,34.026,ok,2020-05-07 00:00:00,1077600
68,33.3444,34.0244,32.9444,33.7744,ok,2020-05-08 00:00:00,800000
69,33.8907,34.2407,33.0007,33.1607,ok,2020-05-11 00:00:00,536100
70,34.1887,34.2887,32.8687,34.0287,ok,2020-05-12 00:00:00,335800
71,33.0961,34.6061,32.8961,34.2361,ok,2020-05-13 00:00:00,492400
72,33.4735,33.7735,32.3835,33.0635,ok,2020-05-14 00:00:00,430200
73,34.2384,35.1584,33.4734,33.8584,ok,2020-05-15 00:00:00,465400
74,34.9635,35.6835,34.2735,34.8135,ok,2020-05-18 00:00:00,756900
75,33.9901,35.6701,33.9701,35.0801,ok,2020-05-19 00:00:00,345200
76,33.8609,34.7609,33.5309,34.1209,ok,2020-05-20 00:00:00,379900
77,33.5431,34.1531,32.8831,33.7031,ok,2020-05-21 00:00:00,425800
78,33.404,33.834,33.084,33.384,ok,2020-05-22 00:00:00,289800
79,33.3643,34.2543,33.0353,33.5643,ok,2020-05-26 00:00:00,218500
80,34.149,34.249,33.119,33.269,ok,2020-05-27 00:00:00,294100
81,33.7914,34.1114,33.3514,34.1114,ok,2020-05-28 00:00:00,498700
82,33.1656,33.9156,33.1356,33.8656,ok,2020-05-29 00:00:00,284600
83,33.2948,33.7098,32.2948,33.0848,ok,2020-06-01 00:00:00,555000
84,32.9968,33.5268,32.7768,33.3768,ok,2020-06-02 00:00:00,272400
85,33.4239,33.7439,32.8339,32.9739,ok,2020-06-03 00:00:00,319000
86,34.2185,34.5985,33.5185,33.8085,ok,2020-06-04 00:00:00,727700
87,32.7187,35.7787,32.4787,34.4987,ok,2020-06-05 00:00:00,1162500
88,32.2121,33.4771,31.8121,33.4721,ok,2020-06-08 00:00:00,940900
89,32.2319,32.7719,31.8219,32.0819,ok,2020-06-09 00:00:00,705300
90,31.5565,32.5065,31.3165,32.3565,ok,2020-06-10 00:00:00,783300
91,31.2387,31.8487,30.5087,31.3187,ok,2020-06-11 00:00:00,763300
92,31.1989,32.1289,30.2389,31.7789,ok,2020-06-12 00:00:00,510100
93,32.8974,33.2274,30.7774,30.9674,ok,2020-06-15 00:00:00,1360900
94,32.7683,33.6383,32.2683,33.1283,ok,2020-06-16 00:00:00,505500
95,32.5995,33.6095,32.5795,32.9195,ok,2020-06-17 00:00:00,491400
96,33.7219,34.4019,32.1019,32.4019,ok,2020-06-18 00:00:00,1005100
97,33.9205,35.2405,33.6605,34.0305,ok,2020-06-19 00:00:00,3445500
98,34.3079,34.6079,33.3879,33.7279,ok,2020-06-22 00:00:00,767800
99,34.1291,34.7491,33.9291,34.5391,ok,2020-06-23 00:00:00,973800
100,34.2781,34.5181,33.8381,33.9481,ok,2020-06-24 00:00:00,673600
101,34.1788,34.2588,33.5088,34.1688,ok,2020-06-25 00:00:00,655300
102,33.5729,34.5129,33.4129,34.2929,ok,2020-06-26 00:00:00,595600
103,34.3079,34.5379,33.3779,33.7779,ok,2020-06-29 00:00:00,603500
104,34.5066,34.8266,34.0666,34.2266,ok,2020-06-30 00:00:00,281300
105,34.0695,34.6595,33.9595,34.6595,ok,2020-07-01 00:00:00,467600
106,34.6556,35.4956,34.2356,34.4556,ok,2020-07-02 00:00:00,332500
107,34.2682,35.1822,33.5482,34.7482,ok,2020-07-06 00:00:00,560700
108,35.033,35.443,33.903,34.073,ok,2020-07-07 00:00:00,442500
