,close,high,low,open,s,time,volume
0,319.4377,320.2477,318.9476,319.7276,ok,2020-01-07 00:00:00,40496400
1,321.1401,322.4701,319.3601,319.6301,ok,2020-01-08 00:00:00,68296000
2,323.3176,323.3976,322.1876,322.8276,ok,2020-01-09 00:00:00,48473300
3,322.3872,324.1372,321.8772,323.9672,ok,2020-01-10 00:00:00,53029300
4,324.6044,324.6144,322.5744,323.0444,ok,2020-01-13 00:00:00,47086800
5,324.1095,325.2795,323.4995,324.1295,ok,2020-01-14 00:00:00,62832800
6,324.8419,325.6719,323.9119,324.0019,ok,2020-01-15 00:00:00,72056600
7,327.5441,327.5441,326.0741,326.3241,ok,2020-01-16 00:00:00,54050300
8,328.5636,328.7936,327.4636,328.3136,ok,2020-01-17 00:00:00,95846000
9,327.9202,328.8002,327.4402,327.5202,ok,2020-01-21 00:00:00,77742400
10,327.9598,329.5698,327.7898,328.8598,ok,2020-01-22 00:00:00,48914900
11,328.3359,328.7859,326.0259,327.2459,ok,2020-01-23 00:00:00,51963000
12,325.416,329.176,324.006,329.086,ok,2020-01-24 00:00:00,87578400
13,320.1998,321.8198,319.3598,319.7298,ok,2020-01-27 00:00:00,84062500
14,323.5552,324.5152,320.2652,321.7252,ok,2020-01-28 00:00:00,63834000
15,323.2879,325.2979,323.0679,325.0479,ok,2020-01-29 00:00:00,53888900
16,324.3371,324.5671,320.1971,321.0171,ok,2020-01-30 00:00:00,75491800
17,318.4478,323.8878,317.4478,323.7178,ok,2020-01-31 00:00:00,113845600
18,320.8134,322.8535,319.9135,320.0435,ok,2020-02-03 00:00:00,69242300
19,325.7031,326.6531,324.3631,324.7131,ok,2020-02-04 00:00:00,62573200
20,329.4643,329.6943,327.2743,328.8743,ok,2020-02-05 00:00:00,65951100
21,330.5729,330.7829,329.3929,330.5029,ok,2020-02-06 00:00:00,50359700
22,328.811,330.601,328.211,329.431,ok,2020-02-07 00:00:00,64139400
23,331.2657,331.3357,327.7757,327.8157,ok,2020-02-10 00:00:00,42070000
24,331.8398,333.5998,331.2598,332.7398,ok,2020-02-11 00:00:00,54864500
25,333.9778,334.2078,332.9878,333.3878,ok,2020-02-12 00:00:00,43992700
26,333.6214,334.6814,332.1214,332.4214,ok,2020-02-13 00:00:00,54501900
27,334.1559,334.2859,332.756,334.0659,ok,2020-02-14 00:00:00,64582200
28,333.2948,334.2348,331.7748,333.0748,ok,2020-02-18 00:00:00,57226200
29,334.8884,335.6284,334.0284,334.3384,ok,2020-02-19 00:00:00,48814700
30,333.5126,335.2026,330.2426,334.3026,ok,2020-02-20 00:00:00,74163400
31,330.078,332.408,329.1779,332.068,ok,2020-02-21 00:00:00,113788200
32,319.1308,330.2708,317.9508,319.8508,ok,2020-02-24 00:00:00,161088400
33,309.4604,321.4204,308.5005,320.7505,ok,2020-02-25 00:00:00,218913200
34,308.3222,314.9322,307.5222,311.0022,ok,2020-02-26 00:00:00,194773800
35,294.4749,308.5249,294.4749,302.4249,ok,2020-02-27 00:00:00,284353500
36,293.2377,294.8677,282.5177,285.6777,ok,2020-02-28 00:00:00,385764000
37,305.9368,306.0068,291.3068,295.0568,ok,2020-03-02 00:00:00,238703600
38,297.1771,310.7771,294.5071,306.4371,ok,2020-03-03 00:00:00,300139100
39,309.6683,309.9083,300.1383,302.9283,ok,2020-03-04 00:00:00,176613400
40,299.3744,305.3844,296.9244,301.8944,ok,2020-03-05 00:00:00,186366800
41,294.4254,295.7454,287.1954,290.1154,ok,2020-03-06 00:00:00,228667200
42,271.4324,281.3924,270.6524,272.5024,ok,2020-03-09 00:00:00,309417300
43,285.4777,285.5777,270.5577,281.6977,ok,2020-03-10 00:00:00,276444100
44,271.5611,279.1411,268.0811,277.9011,ok,2020-03-11 00:00:00,255316300
45,245.5789,264.1289,245.1489,253.4689,ok,2020-03-12 00:00:00,392220700
46,266.5725,268.7325,245.7725,260.3425,ok,2020-03-13 00:00:00,327124600
47,237.4032,254.4531,234.9131,238.7331,ok,2020-03-16 00:00:00,297240000
48,250.221,253.591,234.491,242.461,ok,2020-03-17 00:00:00,262070500
49,237.5516,245.9216,225.5716,233.8016,ok,2020-03-18 00:00:00,327597100
50,238.0564,244.9264,229.7664,236.7964,ok,2020-03-19 00:00:00,289322000
51,227.7976,243.4676,227.4976,241.5276,ok,2020-03-20 00:00:00,347158800
52,221.9732,228.7032,217.2832,227.2132,ok,2020-03-23 00:00:00,326025200
53,242.0847,243.0347,232.7347,233.3547,ok,2020-03-24 00:00:00,235494500
54,245.7087,255.2687,238.6687,243.7887,ok,2020-03-25 00:00:00,299430300
55,260.0556,261.6556,247.9056,248.3756,ok,2020-03-26 00:00:00,257632800
56,252.3097,259.6997,249.9397,252.1597,ok,2020-03-27 00:00:00,224341200
57,260.5036,261.2836,252.3836,254.5536,ok,2020-03-30 00:00:00,171369500
58,256.6207,262.2007,255.0907,259.4307,ok,2020-03-31 00:00:00,194881100
59,245.0715,256.5815,242.8215,246.9015,ok,2020-04-01 00:00:00,189554600
60,250.7267,251.5766,243.4866,244.0867,ok,2020-04-02 00:00:00,177660400
61,247.1026,252.2326,244.1326,249.6726,ok,2020-04-03 00:00:00,135561200
62,263.6996,265.8396,247.0096,256.6796,ok,2020-04-06 00:00:00,188061200
63,263.9684,273.8684,263.7284,273.0484,ok,2020-04-07 00:00:00,201427200
64,272.8294,274.7994,264.0494,266.7594,ok,2020-04-08 00:00:00,153774500
65,276.9811,279.9811,274.2511,276.3611,ok,2020-04-09 00:00:00,190282700
66,274.4522,276.3022,270.2022,275.9323,ok,2020-04-13 00:00:00,114839100
67,282.5466,283.6566,274.2666,279.7366,ok,2020-04-14 00:00:00,134143400
68,276.5431,282.7231,274.243,276.3531,ok,2020-04-15 00:00:00,121775000
69,277.8772,278.8072,274.5372,277.9272,ok,2020-04-16 00:00:00,131798300
70,285.3842,286.0441,281.1441,284.1241,ok,2020-04-17 00:00:00,146684800
71,280.3563,285.5563,280.1163,281.3763,ok,2020-04-20 00:00:00,100109300
72,271.8438,276.8438,270.8237,275.5338,ok,2020-04-21 00:00:00,126385700
73,277.8772,279.7772,275.6872,277.1272,ok,2020-04-22 00:00:00,93524600
74,277.8572,282.7173,277.5273,279.2672,ok,2020-04-23 00:00:00,104709700
75,281.7302,282.4602,277.2602,279.4902,ok,2020-04-24 00:00:00,85166000
76,285.7923,287.0123,283.3623,283.8623,ok,2020-04-27 00:00:00,77896600
77,284.4781,290.1481,284.1481,289.7681,ok,2020-04-28 00:00:00,105270000
78,291.9254,293.5954,289.1254,290.2454,ok,2020-04-29 00:00:00,118745600
79,289.2073,292.0473,287.3173,290.4373,ok,2020-04-30 00:00:00,121841200
80,281.551,289.421,280.281,284.071,ok,2020-05-01 00:00:00,125180000
81,282.3276,282.6576,277.8876,279.4976,ok,2020-05-04 00:00:00,80873200
82,284.9361,287.9961,282.4561,285.3861,ok,2020-05-05 00:00:00,79569900
83,283.0046,287.2146,282.5346,286.7946,ok,2020-05-06 00:00:00,73632600
84,286.4196,288.5196,285.8696,286.4896,ok,2020-05-07 00:00:00,75250400
85,291.1587,291.6687,288.5787,289.8087,ok,2020-05-08 00:00:00,76622100
86,291.2185,292.7185,288.5985,289.0585,ok,2020-05-11 00:00:00,79030200
87,285.414,292.984,285.264,292.534,ok,2020-05-12 00:00:00,95870800
88,280.3662,285.9562,277.7262,284.8262,ok,2020-05-13 00:00:00,144721100
89,283.7215,283.8615,271.7415,277.7015,ok,2020-05-14 00:00:00,121977900
90,285.0257,285.0757,280.0857,281.1157,ok,2020-05-15 00:00:00,111146300
91,293.7075,295.4575,291.4075,291.7575,ok,2020-05-18 00:00:00,120320200
92,290.6908,294.9308,290.6708,293.0708,ok,2020-05-19 00:00:00,95189300
93,295.6291,296.5691,294.2691,294.5191,ok,2020-05-20 00:00:00,85861700
94,293.588,296.3781,292.398,295.498,ok,2020-05-21 00:00:00,78293900
95,294.1456,294.3356,291.9256,293.2756,ok,2020-05-22 00:00:00,63958200
96,297.7696,300.8796,294.1496,300.6196,ok,2020-05-26 00:00:00,88951400
97,302.2001,302.2401,295.5401,300.7901,ok,2020-05-27 00:00:00,104817400
98,301.6426,305.5126,300.9126,303.3226,ok,2020-05-28 00:00:00,90405200
99,302.9867,303.6267,298.1367,301.1267,ok,2020-05-29 00:00:00,119265700
100,304.2113,304.8713,301.7213,302.2813,ok,2020-06-01 00:00:00,55758300
101,306.7302,306.7802,303.7502,305.2002,ok,2020-06-02 00:00:00,74267200
102,310.8122,311.8522,308.5722,308.8722,ok,2020-06-03 00:00:00,92567600
103,309.9958,311.6358,307.7158,309.7458,ok,2020-06-04 00:00:00,75794400
104,317.9409,319.8709,315.7609,315.8309,ok,2020-06-05 00:00:00,150524700
105,321.784,321.994,318.214,318.804,ok,2020-06-08 00:00:00,73641200
106,319.3845,321.8745,317.9545,318.8945,ok,2020-06-09 00:00:00,77479200
107,317.6024,320.9924,316.8224,320.0224,ok,2020-06-10 00:00:00,95000800
108,299.2929,310.8329,298.693,310.1429,ok,2020-06-11 00:00:00,209243600
109,302.8772,307.7472,297.2672,306.9072,ok,2020-06-12 00:00:00,194529100
110,305.7047,306.9347,295.3947,296.6747,ok,2020-06-15 00:00:00,135782700
111,311.5888,314.2688,306.2988,314.1088,ok,2020-06-16 00:00:00,137627500
112,310.2945,313.0245,309.4945,312.7045,ok,2020-06-17 00:00:00,82954600
113,310.414,310.934,308.144,308.644,ok,2020-06-18 00:00:00,80828700
114,308.64,314.38,306.53,314.17,ok,2020-06-19 00:00:00,135549600
115,310.62,311.05,306.75,307.99,ok,2020-06-22 00:00:00,74649400
116,312.05,314.5,311.61,313.49,ok,2020-06-23 00:00:00,68471200
117,304.09,310.51,302.1,309.84,ok,2020-06-24 00:00:00,132813500
118,307.35,307.64,301.28,303.47,ok,2020-06-25 00:00:00,89468000
119,300.05,306.39,299.42,306.16,ok,2020-06-26 00:00:00,127961000
120,304.46,304.61,298.93,301.41,ok,2020-06-29 00:00:00,79773300
121,308.36,310.2,303.82,303.99,ok,2020-06-30 00:00:00,113394800
122,310.52,311.89,309.07,309.57,ok,2020-07-01 00:00:00,72396500
123,312.23,315.7,311.51,314.24,ok,2020-07-02 00:00:00,69344200
124,317.05,317.68,315.56,316.37,ok,2020-07-06 00:00:00,61713800
125,313.78,317.52,313.37,315.38,ok,2020-07-07 00:00:00,82910000
126,316.18,316.3,312.7,314.61,ok,2020-07-08 00:00:00,54638600
127,314.38,317.1,310.68,316.84,ok,2020-07-09 00:00:00,83354200
128,317.59,317.88,312.76,314.31,ok,2020-07-10 00:00:00,57550400
129,314.84,322.71,314.13,320.13,ok,2020-07-13 00:00:00,102997500
130,318.92,319.76,312.0,313.3,ok,2020-07-14 00:00:00,93657000
131,321.85,323.04,319.27,322.41,ok,2020-07-15 00:00:00,87196500
132,320.79,321.28,319.09,319.79,ok,2020-07-16 00:00:00,54622500
133,321.72,322.57,319.74,321.88,ok,2020-07-17 00:00:00,62774900
134,324.32,325.13,320.62,321.43,ok,2020-07-20 00:00:00,56308800
135,325.01,326.93,323.94,326.45,ok,2020-07-21 00:00:00,57499000
136,326.86,327.2,324.5,324.62,ok,2020-07-22 00:00:00,57792900
137,322.96,327.23,321.48,326.47,ok,2020-07-23 00:00:00,75738000
138,320.88,321.99,319.25,320.95,ok,2020-07-24 00:00:00,73766600
139,323.22,323.41,320.77,321.63,ok,2020-07-27 00:00:00,96434100
140,321.17,323.64,320.85,322.43,ok,2020-07-28 00:00:00,57495000
141,325.12,325.73,322.08,322.12,ok,2020-07-29 00:00:00,48454200
142,323.96,324.41,319.64,321.9,ok,2020-07-30 00:00:00,61861700
143,326.52,326.63,321.33,325.9,ok,2020-07-31 00:00:00,85210800
144,328.79,329.62,327.73,328.32,ok,2020-08-03 00:00:00,106102100
145,330.06,330.06,327.86,327.86,ok,2020-08-04 00:00:00,41917900
146,332.11,332.39,331.18,331.47,ok,2020-08-05 00:00:00,42866400
147,334.33,334.46,331.13,331.48,ok,2020-08-06 00:00:00,43679400
148,334.57,334.88,332.3,333.28,ok,2020-08-07 00:00:00,57265200
149,335.57,335.77,332.96,335.06,ok,2020-08-10 00:00:00,44282100
150,332.8,337.54,332.01,336.85,ok,2020-08-11 00:00:00,69601100
151,337.44,338.28,335.41,335.44,ok,2020-08-12 00:00:00,53826100
152,336.83,338.25,335.83,336.61,ok,2020-08-13 00:00:00,41816100
